timestamp_et,sequence_type,seconds_elapsed,up_bid,up_ask,up_bid_liq,up_ask_liq,up_last,down_bid,down_ask,down_bid_liq,down_ask_liq,down_last,candle_outcome
2026-04-01 05:25:02,RR,2,0.01,0.99,110.14,4650.33,0.85,0.01,0.99,109.27,4346.0,0.15,PENDING
2026-04-01 05:25:04,RR,4,0.01,0.99,110.14,4635.68,0.86,0.01,0.99,109.27,4346.0,0.15,PENDING
2026-04-01 05:25:05,RR,5,0.01,0.99,110.14,4635.68,0.86,0.01,0.99,109.27,4346.0,0.16,PENDING
2026-04-01 05:25:07,RR,7,0.01,0.99,110.14,4640.63,0.86,0.01,0.99,109.27,4346.0,0.16,PENDING
2026-04-01 05:25:08,RR,8,0.01,0.99,110.14,4753.81,0.88,0.01,0.99,114.04,4346.0,0.13,PENDING
2026-04-01 05:25:10,RR,10,0.01,0.99,110.14,4753.86,0.88,0.01,0.99,114.09,4346.0,0.13,PENDING
2026-04-01 05:25:11,RR,11,0.01,0.99,110.64,4748.96,0.87,0.01,0.99,113.99,4355.5,0.16,PENDING
2026-04-01 05:25:13,RR,13,0.01,0.99,110.64,4679.91,0.87,0.01,0.99,113.04,4355.5,0.14,PENDING
2026-04-01 05:25:15,RR,15,0.01,0.99,109.64,4674.96,0.85,0.01,0.99,113.04,4281.5,0.14,PENDING
2026-04-01 05:25:16,RR,16,0.01,0.99,109.64,4674.96,0.85,0.01,0.99,113.04,4281.5,0.16,PENDING
2026-04-01 05:25:18,RR,18,0.01,0.99,109.14,4897.96,0.84,0.01,0.99,115.24,4272.0,0.16,PENDING
2026-04-01 05:25:19,RR,19,0.01,0.99,109.14,4897.96,0.85,0.01,0.99,115.24,4272.0,0.16,PENDING
2026-04-01 05:25:21,RR,21,0.01,0.99,109.14,4897.96,0.85,0.01,0.99,117.42,4272.0,0.16,PENDING
2026-04-01 05:25:22,RR,22,0.01,0.99,109.14,5113.25,0.85,0.01,0.99,117.42,4272.0,0.16,PENDING
2026-04-01 05:25:24,RR,24,0.01,0.99,109.14,5118.2,0.85,0.01,0.99,117.47,4272.0,0.16,PENDING
2026-04-01 05:25:25,RR,25,0.01,0.99,109.14,5338.79,0.84,0.01,0.99,119.85,4272.0,0.16,PENDING
2026-04-01 05:25:27,RR,27,0.01,0.99,109.14,5343.54,0.84,0.01,0.99,107.48,4272.0,0.16,PENDING
2026-04-01 05:25:29,RR,29,0.01,0.99,109.14,5298.85,0.82,0.01,0.99,109.69,4272.0,0.21,PENDING
2026-04-01 05:25:30,RR,30,0.01,0.99,109.14,5298.85,0.77,0.01,0.99,109.69,4272.0,0.24,PENDING
2026-04-01 05:25:32,RR,32,0.01,0.99,99.16,4974.84,0.71,0.01,0.99,94.4,3938.65,0.3,PENDING
2026-04-01 05:25:33,RR,33,0.01,0.99,98.66,4840.14,0.7,0.01,0.99,95.4,3929.15,0.3,PENDING
2026-04-01 05:25:35,RR,35,0.01,0.99,98.66,4840.14,0.67,0.01,0.99,95.4,3929.15,0.34,PENDING
2026-04-01 05:25:36,RR,36,0.01,0.99,98.66,4845.09,0.62,0.01,0.99,95.45,3929.15,0.43,PENDING
2026-04-01 05:25:38,RR,38,0.01,0.99,98.66,4842.22,0.54,0.01,0.99,100.7,3444.15,0.49,PENDING
2026-04-01 05:25:39,RR,39,0.01,0.99,93.66,5317.16,0.5,0.01,0.99,114.17,3634.15,0.5,PENDING
2026-04-01 05:25:41,RR,41,0.01,0.99,93.66,5296.49,0.5,0.01,0.99,114.17,3634.15,0.49,PENDING
2026-04-01 05:25:43,RR,43,0.01,0.99,93.18,5291.89,0.5,0.01,0.99,113.77,3622.63,0.5,PENDING
2026-04-01 05:25:44,RR,44,0.01,0.99,108.18,4811.79,0.52,0.01,0.99,98.87,4107.63,0.48,PENDING
2026-04-01 05:25:46,RR,46,0.01,0.99,108.18,4811.79,0.52,0.01,0.99,98.22,4107.63,0.5,PENDING
2026-04-01 05:25:47,RR,47,0.01,0.99,93.18,5065.8,0.45,0.01,0.99,111.05,3622.63,0.55,PENDING
2026-04-01 05:25:49,RR,49,0.01,0.99,92.08,4625.37,0.42,0.01,0.99,107.61,3618.73,0.58,PENDING
