timestamp_utc,timestamp_et,sequence_type,seconds_elapsed,yes_best_bid,yes_best_ask,yes_spread,yes_bid_liq,yes_ask_liq,no_best_bid,no_best_ask,no_spread,no_bid_liq,no_ask_liq,last_trade_price,last_trade_side,candle_outcome
2026-03-30 11:10:02,2026-03-30 07:10:02,RR,2,0.01,0.99,0.98,160.81,12955.84,0.01,0.99,0.98,220.61,10641.81,0.93,BUY,DOWN
2026-03-30 11:10:04,2026-03-30 07:10:04,RR,4,0.01,0.99,0.98,160.81,12934.29,0.01,0.99,0.98,220.21,10641.81,0.93,BUY,DOWN
2026-03-30 11:10:05,2026-03-30 07:10:05,RR,5,0.01,0.99,0.98,160.81,13228.11,0.01,0.99,0.98,231.23,10641.81,0.94,BUY,DOWN
2026-03-30 11:10:07,2026-03-30 07:10:07,RR,7,0.01,0.99,0.98,160.81,13347.47,0.01,0.99,0.98,236.5,10641.81,0.9,BUY,DOWN
2026-03-30 11:10:08,2026-03-30 07:10:08,RR,8,0.01,0.99,0.98,160.81,13351.32,0.01,0.99,0.98,234.5,10641.81,0.9,BUY,DOWN
2026-03-30 11:10:10,2026-03-30 07:10:10,RR,10,0.01,0.99,0.98,160.86,13332.12,0.01,0.99,0.98,235.7,10641.81,0.9,BUY,DOWN
2026-03-30 11:10:11,2026-03-30 07:10:11,RR,11,0.01,0.99,0.98,160.81,13322.62,0.01,0.99,0.98,235.7,10641.81,0.9,BUY,DOWN
2026-03-30 11:10:13,2026-03-30 07:10:13,RR,13,0.01,0.99,0.98,160.81,13351.32,0.01,0.99,0.98,238.05,10641.81,0.9,BUY,DOWN
2026-03-30 11:10:15,2026-03-30 07:10:15,RR,15,0.01,0.99,0.98,160.81,11623.56,0.01,0.99,0.98,167.66,10932.81,0.95,BUY,DOWN
2026-03-30 11:10:16,2026-03-30 07:10:16,RR,16,0.01,0.99,0.98,175.81,12755.9,0.01,0.99,0.98,225.45,11126.81,0.96,BUY,DOWN
2026-03-30 11:10:18,2026-03-30 07:10:18,RR,18,0.01,0.99,0.98,175.81,11895.38,0.01,0.99,0.98,190.04,11126.81,0.92,SELL,DOWN
2026-03-30 11:10:19,2026-03-30 07:10:19,RR,19,0.01,0.99,0.98,175.81,12164.43,0.01,0.99,0.98,188.34,11126.81,0.92,SELL,DOWN
2026-03-30 11:10:21,2026-03-30 07:10:21,RR,21,0.01,0.99,0.98,175.86,11695.18,0.01,0.99,0.98,189.04,11126.81,0.93,BUY,DOWN
2026-03-30 11:10:22,2026-03-30 07:10:22,RR,22,0.01,0.99,0.98,175.81,11935.43,0.01,0.99,0.98,196.99,11126.81,0.93,BUY,DOWN
2026-03-30 11:10:24,2026-03-30 07:10:24,RR,24,0.01,0.99,0.98,175.81,11925.03,0.01,0.99,0.98,198.39,11126.81,0.93,BUY,DOWN
2026-03-30 11:10:25,2026-03-30 07:10:25,RR,25,0.01,0.99,0.98,175.81,11997.25,0.01,0.99,0.98,200.62,11126.81,0.93,BUY,DOWN
2026-03-30 11:10:27,2026-03-30 07:10:27,RR,27,0.01,0.99,0.98,175.81,12397.35,0.01,0.99,0.98,203.14,11126.81,0.93,BUY,DOWN
2026-03-30 11:10:28,2026-03-30 07:10:28,RR,28,0.01,0.99,0.98,175.81,12008.48,0.01,0.99,0.98,200.24,11126.81,0.93,BUY,DOWN
2026-03-30 11:10:30,2026-03-30 07:10:30,RR,30,0.01,0.99,0.98,175.81,12303.92,0.01,0.99,0.98,197.5,11131.76,0.93,BUY,DOWN
2026-03-30 11:10:31,2026-03-30 07:10:31,RR,31,0.01,0.99,0.98,145.84,10613.36,0.01,0.99,0.98,165.59,9632.78,0.93,BUY,DOWN
2026-03-30 11:10:33,2026-03-30 07:10:33,RR,33,0.01,0.99,0.98,145.84,10849.03,0.01,0.99,0.98,172.79,9632.78,0.93,BUY,DOWN
2026-03-30 11:10:34,2026-03-30 07:10:34,RR,34,0.01,0.99,0.98,145.84,10819.63,0.01,0.99,0.98,172.49,9632.78,0.93,BUY,DOWN
2026-03-30 11:10:36,2026-03-30 07:10:36,RR,36,0.01,0.99,0.98,145.84,11739.12,0.01,0.99,0.98,198.3,9632.78,0.93,BUY,DOWN
2026-03-30 11:10:37,2026-03-30 07:10:37,RR,37,0.01,0.99,0.98,145.84,11255.15,0.01,0.99,0.98,183.67,9632.78,0.9,SELL,DOWN
2026-03-30 11:10:39,2026-03-30 07:10:39,RR,39,0.01,0.99,0.98,145.84,11143.7,0.01,0.99,0.98,178.82,9632.78,0.9,SELL,DOWN
2026-03-30 11:10:41,2026-03-30 07:10:41,RR,41,0.01,0.99,0.98,145.84,11307.05,0.01,0.99,0.98,187.02,9632.78,0.88,BUY,DOWN
2026-03-30 11:10:42,2026-03-30 07:10:42,RR,42,0.01,0.99,0.98,145.84,11302.3,0.01,0.99,0.98,186.52,9632.78,0.88,BUY,DOWN
2026-03-30 11:10:44,2026-03-30 07:10:44,RR,44,0.01,0.99,0.98,145.84,11297.55,0.01,0.99,0.98,186.27,9632.78,0.89,BUY,DOWN
2026-03-30 11:10:45,2026-03-30 07:10:45,RR,45,0.01,0.99,0.98,145.84,11296.4,0.01,0.99,0.98,187.42,9632.78,0.89,BUY,DOWN
2026-03-30 11:10:47,2026-03-30 07:10:47,RR,47,0.01,0.99,0.98,145.84,10947.38,0.01,0.99,0.98,170.94,9632.78,0.88,BUY,DOWN
2026-03-30 11:10:48,2026-03-30 07:10:48,RR,48,0.01,0.99,0.98,145.84,11137.38,0.01,0.99,0.98,180.44,9632.78,0.88,BUY,DOWN
2026-03-30 11:10:50,2026-03-30 07:10:50,RR,50,0.01,0.99,0.98,145.84,11137.38,0.01,0.99,0.98,180.44,9632.78,0.88,SELL,DOWN
2026-03-30 11:10:51,2026-03-30 07:10:51,RR,51,0.01,0.99,0.98,145.84,11136.38,0.01,0.99,0.98,181.44,9632.78,0.89,SELL,DOWN
2026-03-30 11:10:53,2026-03-30 07:10:53,RR,53,0.01,0.99,0.98,145.84,11136.38,0.01,0.99,0.98,181.44,9632.78,0.89,SELL,DOWN
2026-03-30 11:10:54,2026-03-30 07:10:54,RR,54,0.01,0.99,0.98,145.84,11227.58,0.01,0.99,0.98,185.24,9632.78,0.89,SELL,DOWN
2026-03-30 11:10:56,2026-03-30 07:10:56,RR,56,0.01,0.99,0.98,145.84,11227.58,0.01,0.99,0.98,185.24,9632.78,0.89,SELL,DOWN
2026-03-30 11:10:58,2026-03-30 07:10:58,RR,58,0.01,0.99,0.98,145.84,11227.58,0.01,0.99,0.98,185.24,9632.78,0.89,BUY,DOWN
2026-03-30 11:10:59,2026-03-30 07:10:59,RR,59,0.01,0.99,0.98,145.84,11227.58,0.01,0.99,0.98,185.24,9637.73,0.89,BUY,DOWN
2026-03-30 11:11:01,2026-03-30 07:11:01,RR,61,0.01,0.99,0.98,145.84,11162.98,0.01,0.99,0.98,182.84,9632.78,0.91,BUY,DOWN
2026-03-30 11:11:02,2026-03-30 07:11:02,RR,62,0.01,0.99,0.98,145.84,10819.97,0.01,0.99,0.98,166.85,9632.78,0.91,BUY,DOWN
2026-03-30 11:11:04,2026-03-30 07:11:04,RR,64,0.01,0.99,0.98,145.84,11030.97,0.01,0.99,0.98,175.85,9632.78,0.91,BUY,DOWN
2026-03-30 11:11:05,2026-03-30 07:11:05,RR,65,0.01,0.99,0.98,145.84,10464.99,0.01,0.99,0.98,155.23,9632.78,0.93,BUY,DOWN
2026-03-30 11:11:07,2026-03-30 07:11:07,RR,67,0.01,0.99,0.98,145.84,10492.35,0.01,0.99,0.98,162.07,9632.78,0.93,BUY,DOWN
2026-03-30 11:11:08,2026-03-30 07:11:08,RR,68,0.01,0.99,0.98,145.84,10312.14,0.01,0.99,0.98,158.38,9632.78,0.93,BUY,DOWN
2026-03-30 11:11:10,2026-03-30 07:11:10,RR,70,0.01,0.99,0.98,145.84,10341.74,0.01,0.99,0.98,162.78,9632.78,0.93,BUY,DOWN
2026-03-30 11:11:11,2026-03-30 07:11:11,RR,71,0.01,0.99,0.98,145.84,10408.47,0.01,0.99,0.98,163.85,9632.78,0.94,BUY,DOWN
2026-03-30 11:11:13,2026-03-30 07:11:13,RR,73,0.01,0.99,0.98,145.84,10380.87,0.01,0.99,0.98,162.35,9632.78,0.94,BUY,DOWN
2026-03-30 11:11:14,2026-03-30 07:11:14,RR,74,0.01,0.99,0.98,145.89,10366.67,0.01,0.99,0.98,159.9,9632.78,0.94,BUY,DOWN
2026-03-30 11:11:16,2026-03-30 07:11:16,RR,76,0.01,0.99,0.98,145.84,10577.5,0.01,0.99,0.98,163.02,9632.78,0.94,BUY,DOWN
2026-03-30 11:11:17,2026-03-30 07:11:17,RR,77,0.01,0.99,0.98,145.84,10916.83,0.01,0.99,0.98,164.65,9637.73,0.94,BUY,DOWN
2026-03-30 11:11:19,2026-03-30 07:11:19,RR,79,0.01,0.99,0.98,145.84,10925.77,0.01,0.99,0.98,158.43,9632.78,0.94,BUY,DOWN
2026-03-30 11:11:21,2026-03-30 07:11:21,RR,81,0.01,0.99,0.98,145.84,11139.02,0.01,0.99,0.98,164.18,9632.78,0.94,BUY,DOWN
2026-03-30 11:11:22,2026-03-30 07:11:22,RR,82,0.01,0.99,0.98,145.84,11153.42,0.01,0.99,0.98,164.78,9632.78,0.94,BUY,DOWN
2026-03-30 11:11:24,2026-03-30 07:11:24,RR,84,0.01,0.99,0.98,145.89,11143.57,0.01,0.99,0.98,164.63,9632.78,0.94,BUY,DOWN
2026-03-30 11:11:25,2026-03-30 07:11:25,RR,85,0.01,0.99,0.98,130.84,11752.28,0.01,0.99,0.98,179.92,9147.78,0.94,BUY,DOWN
2026-03-30 11:11:27,2026-03-30 07:11:27,RR,87,0.01,0.99,0.98,130.84,11880.43,0.01,0.99,0.98,186.77,9147.78,0.93,BUY,DOWN
2026-03-30 11:11:28,2026-03-30 07:11:28,RR,88,0.01,0.99,0.98,130.84,11912.98,0.01,0.99,0.98,186.97,9147.78,0.93,BUY,DOWN
2026-03-30 11:11:30,2026-03-30 07:11:30,RR,90,0.01,0.99,0.98,130.84,11903.88,0.01,0.99,0.98,187.65,9147.78,0.93,BUY,DOWN
