timestamp_et,sequence_type,seconds_elapsed,up_ask,up_liq_$,down_ask,down_liq_$,candle_outcome
2026-03-31 08:10:02,GG,2,0.99,7105.75,0.99,8658.67,DOWN
2026-03-31 08:10:03,GG,3,0.99,7105.75,0.99,8658.62,DOWN
2026-03-31 08:10:05,GG,5,0.99,7105.75,0.99,8653.47,DOWN
2026-03-31 08:10:06,GG,6,0.99,7105.75,0.99,8653.47,DOWN
2026-03-31 08:10:08,GG,8,0.99,7105.75,0.99,8653.47,DOWN
2026-03-31 08:10:09,GG,9,0.99,7105.75,0.99,8658.42,DOWN
2026-03-31 08:10:10,GG,10,0.99,7105.75,0.99,8653.47,DOWN
2026-03-31 08:10:11,GG,11,0.99,7105.75,0.99,8643.67,DOWN
2026-03-31 08:10:13,GG,13,0.99,7105.75,0.99,8643.67,DOWN
2026-03-31 08:10:14,GG,14,0.99,7105.75,0.99,8604.07,DOWN
2026-03-31 08:10:15,GG,15,0.99,7105.75,0.99,8604.07,DOWN
2026-03-31 08:10:16,GG,16,0.99,7115.25,0.99,8603.07,DOWN
2026-03-31 08:10:18,GG,18,0.99,7115.25,0.99,8609.03,DOWN
2026-03-31 08:10:19,GG,19,0.99,7115.25,0.99,8609.03,DOWN
2026-03-31 08:10:20,GG,20,0.99,7105.75,0.99,8618.73,DOWN
2026-03-31 08:10:22,GG,22,0.99,7105.75,0.99,8618.73,DOWN
2026-03-31 08:10:23,GG,23,0.99,7105.75,0.99,8618.73,DOWN
2026-03-31 08:10:24,GG,24,0.99,7105.75,0.99,8574.68,DOWN
2026-03-31 08:10:25,GG,25,0.99,7105.75,0.99,8563.97,DOWN
2026-03-31 08:10:27,GG,27,0.99,7390.75,0.99,8561.97,DOWN
2026-03-31 08:10:28,GG,28,0.99,8265.75,0.99,7569.88,DOWN
2026-03-31 08:10:29,GG,29,0.99,7790.15,0.99,8054.88,DOWN
2026-03-31 08:10:30,GG,30,0.99,6249.12,0.99,6550.25,DOWN
2026-03-31 08:10:32,GG,32,0.99,6292.32,0.99,6338.88,DOWN
2026-03-31 08:10:33,GG,33,0.99,5440.52,0.99,5828.41,DOWN
2026-03-31 08:10:34,GG,34,0.99,5821.57,0.99,5828.41,DOWN
2026-03-31 08:10:36,GG,36,0.99,5822.47,0.99,6018.41,DOWN
2026-03-31 08:10:37,GG,37,0.99,5827.37,0.99,6018.41,DOWN
2026-03-31 08:10:38,GG,38,0.99,5827.37,0.99,6018.41,DOWN
2026-03-31 08:10:39,GG,39,0.99,5342.37,0.99,6503.41,DOWN
2026-03-31 08:10:41,GG,41,0.99,5834.12,0.99,5876.78,DOWN
2026-03-31 08:10:42,GG,42,0.99,6613.62,0.99,6161.89,DOWN
2026-03-31 08:10:43,GG,43,0.99,6317.12,0.99,6435.39,DOWN
2026-03-31 08:10:45,GG,45,0.99,6288.32,0.99,6440.14,DOWN
2026-03-31 08:10:46,GG,46,0.99,6288.32,0.99,6440.14,DOWN
2026-03-31 08:10:47,GG,47,0.99,6201.57,0.99,6221.64,DOWN
2026-03-31 08:10:48,GG,48,0.99,6182.02,0.99,6221.64,DOWN
2026-03-31 08:10:50,GG,50,0.99,6172.17,0.99,6221.64,DOWN
2026-03-31 08:10:51,GG,51,0.99,6177.12,0.99,6216.89,DOWN
2026-03-31 08:10:52,GG,52,0.99,6177.12,0.99,6216.89,DOWN
2026-03-31 08:10:53,GG,53,0.99,6173.17,0.99,6121.89,DOWN
2026-03-31 08:10:55,GG,55,0.99,6178.12,0.99,6121.89,DOWN
2026-03-31 08:10:56,GG,56,0.99,6183.02,0.99,6121.89,DOWN
2026-03-31 08:10:57,GG,57,0.99,6185.02,0.99,6121.89,DOWN
2026-03-31 08:10:58,GG,58,0.99,6375.07,0.99,6121.89,DOWN
2026-03-31 08:11:00,GG,60,0.99,6375.07,0.99,6083.72,DOWN
2026-03-31 08:11:01,GG,61,0.99,6365.17,0.99,6078.38,DOWN
2026-03-31 08:11:02,GG,62,0.99,6237.72,0.99,6083.72,DOWN
2026-03-31 08:11:04,GG,64,0.99,6218.32,0.99,6083.72,DOWN
2026-03-31 08:11:05,GG,65,0.99,6575.62,0.99,6088.47,DOWN
2026-03-31 08:11:06,GG,66,0.99,6371.92,0.99,6088.47,DOWN
2026-03-31 08:11:07,GG,67,0.99,6561.92,0.99,5708.47,DOWN
2026-03-31 08:11:09,GG,69,0.99,5228.12,0.99,4718.47,DOWN
2026-03-31 08:11:10,GG,70,0.99,5546.98,0.99,4718.47,DOWN
2026-03-31 08:11:11,GG,71,0.99,5656.24,0.99,4718.47,DOWN
2026-03-31 08:11:12,GG,72,0.99,5422.04,0.99,4718.47,DOWN
2026-03-31 08:11:14,GG,74,0.99,5808.04,0.99,4718.47,DOWN
2026-03-31 08:11:15,GG,75,0.99,5808.04,0.99,4680.27,DOWN
2026-03-31 08:11:16,GG,76,0.99,5808.04,0.99,4680.27,DOWN
2026-03-31 08:11:17,GG,77,0.99,5618.99,0.99,4680.27,DOWN
2026-03-31 08:11:19,GG,79,0.99,5612.04,0.99,4680.27,DOWN
2026-03-31 08:11:20,GG,80,0.99,5612.04,0.99,4680.27,DOWN
2026-03-31 08:11:21,GG,81,0.99,5617.31,0.99,4680.27,DOWN
2026-03-31 08:11:23,GG,83,0.99,5619.31,0.99,4680.27,DOWN
2026-03-31 08:11:24,GG,84,0.99,5555.76,0.99,4680.27,DOWN
