timestamp_et,sequence_type,seconds_elapsed,up_bid,up_ask,up_bid_liq,up_ask_liq,up_last,down_bid,down_ask,down_bid_liq,down_ask_liq,down_last,candle_outcome
2026-04-01 04:10:02,RR,2,0.01,0.99,107.43,5377.91,0.9,0.01,0.99,137.92,4385.11,0.11,PENDING
2026-04-01 04:10:03,RR,3,0.01,0.99,106.46,5410.04,0.91,0.01,0.99,137.95,4316.06,0.09,PENDING
2026-04-01 04:10:05,RR,5,0.01,0.99,105.91,5385.04,0.92,0.01,0.99,141.33,4311.11,0.09,PENDING
2026-04-01 04:10:07,RR,7,0.01,0.99,105.91,5475.29,0.92,0.01,0.99,147.83,4311.11,0.09,PENDING
2026-04-01 04:10:08,RR,8,0.01,0.99,105.91,6779.25,0.92,0.01,0.99,158.99,4316.06,0.09,PENDING
2026-04-01 04:10:10,RR,10,0.01,0.99,105.91,6779.2,0.92,0.01,0.99,158.09,4311.11,0.09,PENDING
2026-04-01 04:10:11,RR,11,0.01,0.99,105.96,6790.02,0.93,0.01,0.99,160.87,4311.11,0.08,PENDING
2026-04-01 04:10:13,RR,13,0.01,0.99,105.96,6735.66,0.92,0.01,0.99,157.61,4316.06,0.08,PENDING
2026-04-01 04:10:14,RR,14,0.01,0.99,105.91,7117.14,0.92,0.01,0.99,161.34,4311.11,0.08,PENDING
2026-04-01 04:10:16,RR,16,0.01,0.99,105.96,7040.09,0.92,0.01,0.99,160.82,4316.06,0.08,PENDING
2026-04-01 04:10:18,RR,18,0.01,0.99,105.91,6940.97,0.92,0.01,0.99,165.51,4311.11,0.08,PENDING
2026-04-01 04:10:19,RR,19,0.01,0.99,105.96,7308.66,0.91,0.01,0.99,165.6,4311.11,0.08,PENDING
2026-04-01 04:10:21,RR,21,0.01,0.99,105.91,7457.38,0.92,0.01,0.99,169.39,4311.11,0.09,PENDING
2026-04-01 04:10:22,RR,22,0.01,0.99,105.96,7102.36,0.92,0.01,0.99,161.3,4311.11,0.09,PENDING
2026-04-01 04:10:24,RR,24,0.01,0.99,105.91,7462.06,0.93,0.01,0.99,160.24,4316.06,0.08,PENDING
2026-04-01 04:10:25,RR,25,0.01,0.99,105.96,6249.81,0.94,0.01,0.99,141.52,4311.11,0.07,PENDING
2026-04-01 04:10:27,RR,27,0.01,0.99,105.91,6184.38,0.95,0.01,0.99,134.87,4316.06,0.06,PENDING
2026-04-01 04:10:29,RR,29,0.01,0.99,105.91,5147.88,0.96,0.01,0.99,85.68,4311.11,0.06,PENDING
2026-04-01 04:10:30,RR,30,0.01,0.99,105.61,4779.49,0.96,0.01,0.99,69.28,4306.36,0.03,PENDING
2026-04-01 04:10:32,RR,32,0.01,0.99,95.22,4753.7,0.97,0.01,0.99,61.57,3968.8,0.03,PENDING
2026-04-01 04:10:33,RR,33,0.01,0.99,95.27,4819.27,0.97,0.01,0.99,60.31,3973.75,0.03,PENDING
2026-04-01 04:10:35,RR,35,0.01,0.99,95.22,4787.51,0.97,0.01,0.99,61.92,3968.8,0.04,PENDING
2026-04-01 04:10:36,RR,36,0.01,0.99,95.17,5009.16,0.97,0.01,0.99,64.07,3963.85,0.03,PENDING
2026-04-01 04:10:38,RR,38,0.01,0.99,95.17,4889.14,0.97,0.01,0.99,61.3,3963.85,0.03,PENDING
2026-04-01 04:10:39,RR,39,0.01,0.99,95.17,4011.75,0.98,0.01,0.99,47.05,3968.8,0.03,PENDING
2026-04-01 04:10:41,RR,41,0.01,0.99,95.22,4403.13,0.98,0.01,0.99,45.94,3968.8,0.03,PENDING
2026-04-01 04:10:42,RR,42,0.01,0.99,95.17,4283.38,0.97,0.01,0.99,44.0,3963.85,0.03,PENDING
2026-04-01 04:10:44,RR,44,0.01,0.99,95.22,4387.45,0.98,0.01,0.99,42.4,3968.8,0.02,PENDING
2026-04-01 04:10:46,RR,46,0.01,0.99,95.22,4298.6,0.99,0.01,0.99,42.07,3968.8,0.02,PENDING
2026-04-01 04:10:47,RR,47,0.01,0.99,95.17,4188.69,0.99,0.01,0.99,42.23,3963.85,0.02,PENDING
2026-04-01 04:10:49,RR,49,0.01,0.99,95.22,3933.34,0.99,0.01,0.99,40.71,3968.8,0.01,PENDING
