timestamp_utc,timestamp_et,sequence_type,seconds_elapsed,yes_best_bid,yes_best_ask,yes_spread,yes_bid_liq,yes_ask_liq,no_best_bid,no_best_ask,no_spread,no_bid_liq,no_ask_liq,last_trade_price,last_trade_side,candle_outcome
2026-03-28 23:58:14,2026-03-28 19:58:14,RR,193,0.01,0.99,0.98,119.22,8920.86,0.01,0.99,0.98,134.59,8777.46,0.34,BUY,PENDING
2026-03-28 23:58:16,2026-03-28 19:58:16,RR,195,0.01,0.99,0.98,129.12,8920.86,0.01,0.99,0.98,134.59,8957.56,0.34,BUY,PENDING
2026-03-28 23:58:18,2026-03-28 19:58:18,RR,197,0.01,0.99,0.98,129.12,8920.86,0.01,0.99,0.98,134.59,8957.56,0.33,SELL,PENDING
2026-03-28 23:58:19,2026-03-28 19:58:19,RR,198,0.01,0.99,0.98,129.12,8920.86,0.01,0.99,0.98,134.59,8957.56,0.33,SELL,PENDING
2026-03-28 23:58:21,2026-03-28 19:58:21,RR,200,0.01,0.99,0.98,129.02,8920.86,0.01,0.99,0.98,134.59,8947.66,0.32,BUY,PENDING
2026-03-28 23:58:23,2026-03-28 19:58:23,RR,202,0.01,0.99,0.98,129.02,8920.86,0.01,0.99,0.98,134.59,8947.66,0.32,BUY,PENDING
2026-03-28 23:58:24,2026-03-28 19:58:24,RR,203,0.01,0.99,0.98,129.02,8921.71,0.01,0.99,0.98,133.74,8947.66,0.32,BUY,PENDING
2026-03-28 23:58:26,2026-03-28 19:58:26,RR,205,0.01,0.99,0.98,129.52,8921.71,0.01,0.99,0.98,133.74,8957.16,0.31,SELL,PENDING
2026-03-28 23:58:27,2026-03-28 19:58:27,RR,206,0.01,0.99,0.98,129.02,8921.71,0.01,0.99,0.98,133.74,8947.66,0.31,BUY,PENDING
2026-03-28 23:58:29,2026-03-28 19:58:29,RR,208,0.01,0.99,0.98,130.22,8933.71,0.01,0.99,0.98,121.74,8976.46,0.3,SELL,PENDING
2026-03-28 23:58:31,2026-03-28 19:58:31,RR,210,0.01,0.99,0.98,119.02,8933.71,0.01,0.99,0.98,121.74,8757.66,0.3,SELL,PENDING
2026-03-28 23:58:32,2026-03-28 19:58:32,RR,211,0.01,0.99,0.98,127.52,8925.71,0.01,0.99,0.98,129.74,8968.96,0.3,SELL,PENDING
2026-03-28 23:58:34,2026-03-28 19:58:34,RR,213,0.01,0.99,0.98,127.02,8925.71,0.01,0.99,0.98,129.74,8949.66,0.29,SELL,PENDING
2026-03-28 23:58:35,2026-03-28 19:58:35,RR,214,0.01,0.99,0.98,130.22,8925.71,0.01,0.99,0.98,129.74,8976.46,0.33,BUY,PENDING
2026-03-28 23:58:37,2026-03-28 19:58:37,RR,216,0.01,0.99,0.98,127.02,8830.71,0.01,0.99,0.98,124.74,8949.66,0.33,BUY,PENDING
2026-03-28 23:58:39,2026-03-28 19:58:39,RR,218,0.01,0.99,0.98,128.22,8830.71,0.01,0.99,0.98,124.74,8978.46,0.33,BUY,PENDING
2026-03-28 23:58:40,2026-03-28 19:58:40,RR,219,0.01,0.99,0.98,128.22,8830.71,0.01,0.99,0.98,124.24,8930.16,0.33,BUY,PENDING
2026-03-28 23:58:42,2026-03-28 19:58:42,RR,221,0.01,0.99,0.98,127.72,8811.21,0.01,0.99,0.98,124.24,8958.96,0.33,BUY,PENDING
2026-03-28 23:58:44,2026-03-28 19:58:44,RR,223,0.01,0.99,0.98,126.52,8811.21,0.01,0.99,0.98,124.24,8930.16,0.32,BUY,PENDING
2026-03-28 23:58:45,2026-03-28 19:58:45,RR,224,0.01,0.99,0.98,127.72,8811.21,0.01,0.99,0.98,124.24,8930.16,0.32,BUY,PENDING
2026-03-28 23:58:47,2026-03-28 19:58:47,RR,226,0.01,0.99,0.98,116.52,8811.21,0.01,0.99,0.98,124.24,8740.16,0.32,BUY,PENDING
2026-03-28 23:58:48,2026-03-28 19:58:48,RR,227,0.01,0.99,0.98,124.52,8811.21,0.01,0.99,0.98,124.24,8932.16,0.32,BUY,PENDING
2026-03-28 23:58:50,2026-03-28 19:58:50,RR,229,0.01,0.99,0.98,115.12,8585.61,0.01,0.99,0.98,114.84,8706.56,0.32,BUY,PENDING
2026-03-28 23:58:52,2026-03-28 19:58:52,RR,231,0.01,0.99,0.98,115.12,8585.61,0.01,0.99,0.98,114.84,8706.56,0.3,SELL,PENDING
2026-03-28 23:58:53,2026-03-28 19:58:53,RR,232,0.01,0.99,0.98,115.12,8585.61,0.01,0.99,0.98,114.84,8706.56,0.31,BUY,PENDING
2026-03-28 23:58:55,2026-03-28 19:58:55,RR,234,0.01,0.99,0.98,116.32,8585.61,0.01,0.99,0.98,114.84,8735.36,0.3,SELL,PENDING
2026-03-28 23:58:57,2026-03-28 19:58:57,RR,236,0.01,0.99,0.98,115.12,8585.61,0.01,0.99,0.98,114.84,8706.56,0.31,BUY,PENDING
2026-03-28 23:58:58,2026-03-28 19:58:58,RR,237,0.01,0.99,0.98,116.32,8585.61,0.01,0.99,0.98,114.84,8706.56,0.31,BUY,PENDING
2026-03-28 23:59:00,2026-03-28 19:59:00,RR,239,0.01,0.99,0.98,107.62,8343.11,0.01,0.99,0.98,107.34,8464.06,0.31,BUY,PENDING
