timestamp_et,sequence_type,seconds_elapsed,up_ask,up_liq_$,down_ask,down_liq_$,candle_outcome
2026-03-31 09:40:02,GG,2,0.99,6938.06,0.99,9732.96,PENDING
2026-03-31 09:40:03,GG,3,0.99,6938.06,0.99,9380.01,PENDING
2026-03-31 09:40:04,GG,4,0.99,6938.06,0.99,9374.27,PENDING
2026-03-31 09:40:06,GG,6,0.99,6928.56,0.99,10091.26,PENDING
2026-03-31 09:40:07,GG,7,0.99,6928.56,0.99,10162.52,PENDING
2026-03-31 09:40:08,GG,8,0.99,6928.56,0.99,10115.89,PENDING
2026-03-31 09:40:10,GG,10,0.99,6928.56,0.99,10081.88,PENDING
2026-03-31 09:40:11,GG,11,0.99,6928.56,0.99,9473.96,PENDING
2026-03-31 09:40:12,GG,12,0.99,6928.56,0.99,10999.95,PENDING
2026-03-31 09:40:13,GG,13,0.99,6928.56,0.99,11082.29,PENDING
2026-03-31 09:40:15,GG,15,0.99,6928.56,0.99,9977.7,PENDING
2026-03-31 09:40:16,GG,16,0.99,6928.56,0.99,7659.24,PENDING
2026-03-31 09:40:17,GG,17,0.99,6928.56,0.99,8227.23,PENDING
2026-03-31 09:40:19,GG,19,0.99,6923.76,0.99,8155.69,PENDING
2026-03-31 09:40:20,GG,20,0.99,6918.96,0.99,8149.75,PENDING
2026-03-31 09:40:21,GG,21,0.99,6914.16,0.99,8082.51,PENDING
2026-03-31 09:40:22,GG,22,0.99,6904.56,0.99,8490.16,PENDING
2026-03-31 09:40:24,GG,24,0.99,6890.06,0.99,7831.82,PENDING
2026-03-31 09:40:25,GG,25,0.99,6880.46,0.99,7248.09,PENDING
2026-03-31 09:40:26,GG,26,0.99,6875.66,0.99,7668.9,PENDING
2026-03-31 09:40:27,GG,27,0.99,6875.66,0.99,7777.63,PENDING
2026-03-31 09:40:29,GG,29,0.99,6875.66,0.99,5039.09,PENDING
2026-03-31 09:40:30,GG,30,0.99,6865.91,0.99,7427.26,PENDING
2026-03-31 09:40:31,GG,31,0.99,5357.28,0.99,6528.1,PENDING
2026-03-31 09:40:33,GG,33,0.99,5357.28,0.99,5897.72,PENDING
2026-03-31 09:40:34,GG,34,0.99,5352.48,0.99,5772.46,PENDING
