timestamp_et,sequence_type,seconds_elapsed,up_bid,up_ask,up_bid_liq,up_ask_liq,up_last,down_bid,down_ask,down_bid_liq,down_ask_liq,down_last,candle_outcome
2026-04-02 06:55:02,RR,2,0.01,0.99,141.34,10783.18,0.68,0.01,0.99,171.96,9961.73,0.33,PENDING
2026-04-02 06:55:04,RR,4,0.01,0.99,141.34,10773.28,0.67,0.01,0.99,171.86,9956.78,0.33,PENDING
2026-04-02 06:55:06,RR,6,0.01,0.99,141.34,10773.28,0.67,0.01,0.99,171.66,9956.78,0.38,PENDING
2026-04-02 06:55:07,RR,7,0.01,0.99,141.34,10773.48,0.63,0.01,0.99,171.66,9956.78,0.38,PENDING
2026-04-02 06:55:09,RR,9,0.01,0.99,141.34,10728.93,0.63,0.01,0.99,170.71,9956.78,0.38,PENDING
2026-04-02 06:55:11,RR,11,0.01,0.99,140.34,10709.38,0.63,0.01,0.99,170.46,9882.78,0.38,PENDING
2026-04-02 06:55:13,RR,13,0.01,0.99,140.34,10699.68,0.58,0.01,0.99,170.46,9882.78,0.44,PENDING
2026-04-02 06:55:14,RR,14,0.01,0.99,140.34,10699.68,0.57,0.01,0.99,170.46,9882.78,0.44,PENDING
2026-04-02 06:55:16,RR,16,0.01,0.99,158.34,10699.68,0.57,0.01,0.99,170.46,10264.78,0.45,PENDING
2026-04-02 06:55:18,RR,18,0.01,0.99,170.34,9729.68,0.42,0.01,0.99,140.46,10852.78,0.58,PENDING
2026-04-02 06:55:20,RR,20,0.01,0.99,170.34,9729.68,0.43,0.01,0.99,140.46,10654.78,0.53,PENDING
2026-04-02 06:55:21,RR,21,0.01,0.99,130.34,8744.58,0.56,0.01,0.99,130.56,8892.78,0.44,PENDING
2026-04-02 06:55:23,RR,23,0.01,0.99,130.34,9714.58,0.58,0.01,0.99,160.56,8892.78,0.42,PENDING
2026-04-02 06:55:25,RR,25,0.01,0.99,130.34,9714.58,0.59,0.01,0.99,160.56,8892.78,0.42,PENDING
2026-04-02 06:55:27,RR,27,0.01,0.99,130.34,9709.68,0.59,0.01,0.99,160.46,8892.78,0.41,PENDING
2026-04-02 06:55:29,RR,29,0.01,0.99,130.34,9709.68,0.59,0.01,0.99,160.46,8892.78,0.41,PENDING
2026-04-02 06:55:30,RR,30,0.01,0.99,130.34,9709.68,0.59,0.01,0.99,155.45,9112.79,0.46,PENDING
2026-04-02 06:55:32,RR,32,0.01,0.99,143.33,9547.69,0.55,0.01,0.99,155.45,9112.79,0.47,PENDING
2026-04-02 06:55:34,RR,34,0.01,0.99,125.33,9552.59,0.55,0.01,0.99,155.65,8920.79,0.45,PENDING
2026-04-02 06:55:35,RR,35,0.01,0.99,135.33,9557.49,0.55,0.01,0.99,155.65,9112.79,0.45,PENDING
