timestamp_et,sequence_type,seconds_elapsed,up_ask,up_liq_$,down_ask,down_liq_$,candle_outcome
2026-03-31 07:40:02,GG,2,0.99,7094.25,0.99,3764.44,UP
2026-03-31 07:40:03,GG,3,0.99,7094.25,0.99,3889.95,UP
2026-03-31 07:40:05,GG,5,0.99,7094.25,0.99,3870.15,UP
2026-03-31 07:40:06,GG,6,0.99,7099.2,0.99,3850.35,UP
2026-03-31 07:40:07,GG,7,0.99,7094.25,0.99,4344.25,UP
2026-03-31 07:40:08,GG,8,0.99,7094.25,0.99,4301.68,UP
2026-03-31 07:40:10,GG,10,0.99,7094.25,0.99,5123.38,UP
2026-03-31 07:40:11,GG,11,0.99,7094.25,0.99,5259.01,UP
2026-03-31 07:40:12,GG,12,0.99,7094.25,0.99,5229.9,UP
2026-03-31 07:40:13,GG,13,0.99,7094.25,0.99,4992.85,UP
2026-03-31 07:40:15,GG,15,0.99,7094.25,0.99,4745.35,UP
2026-03-31 07:40:16,GG,16,0.99,7094.25,0.99,5175.78,UP
2026-03-31 07:40:17,GG,17,0.99,7094.25,0.99,5188.65,UP
2026-03-31 07:40:18,GG,18,0.99,7094.25,0.99,5188.65,UP
2026-03-31 07:40:20,GG,20,0.99,7094.25,0.99,5202.51,UP
2026-03-31 07:40:21,GG,21,0.99,7094.25,0.99,4537.0,UP
2026-03-31 07:40:22,GG,22,0.99,7094.25,0.99,4580.17,UP
2026-03-31 07:40:23,GG,23,0.99,7094.25,0.99,4541.45,UP
2026-03-31 07:40:25,GG,25,0.99,7094.25,0.99,4528.58,UP
2026-03-31 07:40:26,GG,26,0.99,7094.25,0.99,3954.77,UP
2026-03-31 07:40:27,GG,27,0.99,7094.25,0.99,3954.77,UP
2026-03-31 07:40:29,GG,29,0.99,7094.25,0.99,3956.71,UP
2026-03-31 07:40:30,GG,30,0.99,7094.25,0.99,3943.84,UP
2026-03-31 07:40:31,GG,31,0.99,5600.22,0.99,3758.02,UP
2026-03-31 07:40:32,GG,32,0.99,5600.22,0.99,3756.04,UP
2026-03-31 07:40:34,GG,34,0.99,5590.42,0.99,3488.72,UP
2026-03-31 07:40:35,GG,35,0.99,5590.42,0.99,3521.39,UP
2026-03-31 07:40:36,GG,36,0.99,5590.42,0.99,3214.49,UP
2026-03-31 07:40:37,GG,37,0.99,5590.42,0.99,2493.84,UP
2026-03-31 07:40:39,GG,39,0.99,5590.42,0.99,2108.71,UP
2026-03-31 07:40:40,GG,40,0.99,5590.42,0.99,2061.68,UP
2026-03-31 07:40:41,GG,41,0.99,5590.42,0.99,1216.13,UP
2026-03-31 07:40:42,GG,42,0.99,5590.42,0.99,1229.0,UP
2026-03-31 07:40:44,GG,44,0.99,5590.42,0.99,1657.22,UP
2026-03-31 07:40:45,GG,45,0.99,5590.42,0.99,1636.75,UP
2026-03-31 07:40:46,GG,46,0.99,5590.42,0.99,2794.35,UP
