timestamp_utc,timestamp_et,sequence_type,seconds_elapsed,yes_best_bid,yes_best_ask,yes_spread,yes_bid_liq,yes_ask_liq,no_best_bid,no_best_ask,no_spread,no_bid_liq,no_ask_liq,last_trade_price,last_trade_side,candle_outcome
2026-03-30 15:25:02,2026-03-30 11:25:02,GG,2,0.01,0.99,0.98,226.13,10571.81,0.01,0.99,0.98,160.96,13132.98,0.08,SELL,UP
2026-03-30 15:25:04,2026-03-30 11:25:04,GG,4,0.01,0.99,0.98,231.78,10571.81,0.01,0.99,0.98,160.96,13344.98,0.08,SELL,UP
2026-03-30 15:25:05,2026-03-30 11:25:05,GG,5,0.01,0.99,0.98,229.86,10571.81,0.01,0.99,0.98,160.96,13470.2,0.09,BUY,UP
2026-03-30 15:25:07,2026-03-30 11:25:07,GG,7,0.01,0.99,0.98,236.49,10571.81,0.01,0.99,0.98,160.96,13415.62,0.09,SELL,UP
2026-03-30 15:25:09,2026-03-30 11:25:09,GG,9,0.01,0.99,0.98,266.64,10571.81,0.01,0.99,0.98,160.96,14205.59,0.09,SELL,UP
2026-03-30 15:25:10,2026-03-30 11:25:10,GG,10,0.01,0.99,0.98,258.2,10571.81,0.01,0.99,0.98,160.96,13943.78,0.11,BUY,UP
2026-03-30 15:25:12,2026-03-30 11:25:12,GG,12,0.01,0.99,0.98,259.17,10571.81,0.01,0.99,0.98,160.96,13968.97,0.12,BUY,UP
2026-03-30 15:25:13,2026-03-30 11:25:13,GG,13,0.01,0.99,0.98,253.39,10571.81,0.01,0.99,0.98,160.96,13918.84,0.09,BUY,UP
2026-03-30 15:25:15,2026-03-30 11:25:15,GG,15,0.01,0.99,0.98,254.74,10571.81,0.01,0.99,0.98,160.96,14048.54,0.11,BUY,UP
2026-03-30 15:25:16,2026-03-30 11:25:16,GG,16,0.01,0.99,0.98,258.19,10576.76,0.01,0.99,0.98,160.96,14029.39,0.11,BUY,UP
2026-03-30 15:25:18,2026-03-30 11:25:18,GG,18,0.01,0.99,0.98,256.95,10571.81,0.01,0.99,0.98,160.96,13945.08,0.12,BUY,UP
2026-03-30 15:25:19,2026-03-30 11:25:19,GG,19,0.01,0.99,0.98,264.9,10571.81,0.01,0.99,0.98,160.96,14132.28,0.12,BUY,UP
2026-03-30 15:25:21,2026-03-30 11:25:21,GG,21,0.01,0.99,0.98,264.9,10571.81,0.01,0.99,0.98,160.96,14137.13,0.12,BUY,UP
2026-03-30 15:25:22,2026-03-30 11:25:22,GG,22,0.01,0.99,0.98,264.8,10571.81,0.01,0.99,0.98,160.96,13932.76,0.12,BUY,UP
2026-03-30 15:25:24,2026-03-30 11:25:24,GG,24,0.01,0.99,0.98,253.98,10576.76,0.01,0.99,0.98,160.96,13853.05,0.14,BUY,UP
2026-03-30 15:25:26,2026-03-30 11:25:26,GG,26,0.01,0.99,0.98,253.15,10571.81,0.01,0.99,0.98,160.96,13827.31,0.18,BUY,UP
2026-03-30 15:25:27,2026-03-30 11:25:27,GG,27,0.01,0.99,0.98,260.8,10571.81,0.01,0.99,0.98,160.96,13969.46,0.19,BUY,UP
2026-03-30 15:25:29,2026-03-30 11:25:29,GG,29,0.01,0.99,0.98,260.95,10571.81,0.01,0.99,0.98,160.96,13964.66,0.19,BUY,UP
2026-03-30 15:25:30,2026-03-30 11:25:30,GG,30,0.01,0.99,0.98,251.05,10571.81,0.01,0.99,0.98,160.96,13784.46,0.21,BUY,UP
2026-03-30 15:25:32,2026-03-30 11:25:32,GG,32,0.01,0.99,0.98,220.83,9082.73,0.01,0.99,0.98,130.99,12285.48,0.2,BUY,UP
2026-03-30 15:25:33,2026-03-30 11:25:33,GG,33,0.01,0.99,0.98,221.23,9077.78,0.01,0.99,0.98,130.99,12285.48,0.19,BUY,UP
2026-03-30 15:25:35,2026-03-30 11:25:35,GG,35,0.01,0.99,0.98,220.98,9077.78,0.01,0.99,0.98,130.99,12285.38,0.18,SELL,UP
2026-03-30 15:25:36,2026-03-30 11:25:36,GG,36,0.01,0.99,0.98,221.23,9082.73,0.01,0.99,0.98,130.99,12290.23,0.23,BUY,UP
2026-03-30 15:25:38,2026-03-30 11:25:38,GG,38,0.01,0.99,0.98,220.98,9077.78,0.01,0.99,0.98,130.99,12280.63,0.23,BUY,UP
2026-03-30 15:25:40,2026-03-30 11:25:40,GG,40,0.01,0.99,0.98,221.08,9077.78,0.01,0.99,0.98,130.99,12280.63,0.23,BUY,UP
2026-03-30 15:25:41,2026-03-30 11:25:41,GG,41,0.01,0.99,0.98,220.98,9077.78,0.01,0.99,0.98,130.99,12280.63,0.24,BUY,UP
2026-03-30 15:25:43,2026-03-30 11:25:43,GG,43,0.01,0.99,0.98,220.83,9077.78,0.01,0.99,0.98,130.99,12285.48,0.25,SELL,UP
2026-03-30 15:25:44,2026-03-30 11:25:44,GG,44,0.01,0.99,0.98,220.83,9077.78,0.01,0.99,0.98,130.99,12280.63,0.24,BUY,UP
2026-03-30 15:25:46,2026-03-30 11:25:46,GG,46,0.01,0.99,0.98,221.08,9077.78,0.01,0.99,0.98,130.99,12280.63,0.25,BUY,UP
2026-03-30 15:25:47,2026-03-30 11:25:47,GG,47,0.01,0.99,0.98,220.83,9077.78,0.01,0.99,0.98,130.99,12290.38,0.22,SELL,UP
2026-03-30 15:25:49,2026-03-30 11:25:49,GG,49,0.01,0.99,0.98,221.03,9077.78,0.01,0.99,0.98,130.99,12280.63,0.24,BUY,UP
2026-03-30 15:25:50,2026-03-30 11:25:50,GG,50,0.01,0.99,0.98,220.83,9082.73,0.01,0.99,0.98,130.99,12280.63,0.24,SELL,UP
2026-03-30 15:25:52,2026-03-30 11:25:52,GG,52,0.01,0.99,0.98,221.08,9077.78,0.01,0.99,0.98,130.99,12285.43,0.24,SELL,UP
2026-03-30 15:25:53,2026-03-30 11:25:53,GG,53,0.01,0.99,0.98,220.83,9077.78,0.01,0.99,0.98,130.99,12285.48,0.21,SELL,UP
2026-03-30 15:25:55,2026-03-30 11:25:55,GG,55,0.01,0.99,0.98,220.98,9077.78,0.01,0.99,0.98,131.04,12280.63,0.21,SELL,UP
2026-03-30 15:25:57,2026-03-30 11:25:57,GG,57,0.01,0.99,0.98,221.23,9077.78,0.01,0.99,0.98,130.99,12475.48,0.19,BUY,UP
2026-03-30 15:25:58,2026-03-30 11:25:58,GG,58,0.01,0.99,0.98,220.95,9077.78,0.01,0.99,0.98,130.99,12297.08,0.14,BUY,UP
2026-03-30 15:26:00,2026-03-30 11:26:00,GG,60,0.01,0.99,0.98,227.18,9082.73,0.01,0.99,0.98,130.99,12494.43,0.14,BUY,UP
2026-03-30 15:26:01,2026-03-30 11:26:01,GG,61,0.01,0.99,0.98,207.17,9522.19,0.01,0.99,0.98,145.58,11908.56,0.11,SELL,UP
2026-03-30 15:26:03,2026-03-30 11:26:03,GG,63,0.01,0.99,0.98,215.97,9532.09,0.01,0.99,0.98,145.63,12061.14,0.21,BUY,UP
2026-03-30 15:26:04,2026-03-30 11:26:04,GG,64,0.01,0.99,0.98,217.62,9527.14,0.01,0.99,0.98,145.63,11807.79,0.16,SELL,UP
2026-03-30 15:26:06,2026-03-30 11:26:06,GG,66,0.01,0.99,0.98,215.57,9527.14,0.01,0.99,0.98,145.68,11796.73,0.17,BUY,UP
2026-03-30 15:26:08,2026-03-30 11:26:08,GG,68,0.01,0.99,0.98,207.89,9527.14,0.01,0.99,0.98,145.63,11802.77,0.17,BUY,UP
2026-03-30 15:26:09,2026-03-30 11:26:09,GG,69,0.01,0.99,0.98,207.54,9527.14,0.01,0.99,0.98,145.63,11797.92,0.18,BUY,UP
2026-03-30 15:26:11,2026-03-30 11:26:11,GG,71,0.01,0.99,0.98,217.89,9527.14,0.01,0.99,0.98,145.63,11992.77,0.17,BUY,UP
2026-03-30 15:26:12,2026-03-30 11:26:12,GG,72,0.01,0.99,0.98,217.89,9527.14,0.01,0.99,0.98,145.63,11997.57,0.17,BUY,UP
2026-03-30 15:26:14,2026-03-30 11:26:14,GG,74,0.01,0.99,0.98,207.89,9527.14,0.01,0.99,0.98,145.63,11802.77,0.19,BUY,UP
2026-03-30 15:26:15,2026-03-30 11:26:15,GG,75,0.01,0.99,0.98,215.89,9527.14,0.01,0.99,0.98,145.63,11994.77,0.19,BUY,UP
2026-03-30 15:26:17,2026-03-30 11:26:17,GG,77,0.01,0.99,0.98,213.74,9527.14,0.01,0.99,0.98,145.63,11961.57,0.19,BUY,UP
2026-03-30 15:26:18,2026-03-30 11:26:18,GG,78,0.01,0.99,0.98,213.79,9527.14,0.01,0.99,0.98,145.63,11961.52,0.19,BUY,UP
2026-03-30 15:26:20,2026-03-30 11:26:20,GG,80,0.01,0.99,0.98,213.94,9527.14,0.01,0.99,0.98,145.63,11961.52,0.19,BUY,UP
2026-03-30 15:26:21,2026-03-30 11:26:21,GG,81,0.01,0.99,0.98,213.99,9527.14,0.01,0.99,0.98,145.63,11966.47,0.19,BUY,UP
2026-03-30 15:26:23,2026-03-30 11:26:23,GG,83,0.01,0.99,0.98,213.54,9527.14,0.01,0.99,0.98,145.63,11956.67,0.19,BUY,UP
2026-03-30 15:26:24,2026-03-30 11:26:24,GG,84,0.01,0.99,0.98,213.79,9527.14,0.01,0.99,0.98,145.63,11966.37,0.19,BUY,UP
2026-03-30 15:26:26,2026-03-30 11:26:26,GG,86,0.01,0.99,0.98,213.89,9527.14,0.01,0.99,0.98,145.63,11966.47,0.19,BUY,UP
2026-03-30 15:26:28,2026-03-30 11:26:28,GG,88,0.01,0.99,0.98,213.69,9527.14,0.01,0.99,0.98,145.63,11956.72,0.18,BUY,UP
2026-03-30 15:26:29,2026-03-30 11:26:29,GG,89,0.01,0.99,0.98,215.54,9527.14,0.01,0.99,0.98,145.63,11949.92,0.2,BUY,UP
2026-03-30 15:26:31,2026-03-30 11:26:31,GG,91,0.01,0.99,0.98,215.54,9527.14,0.01,0.99,0.98,145.63,11954.72,0.2,BUY,UP
2026-03-30 15:26:32,2026-03-30 11:26:32,GG,92,0.01,0.99,0.98,215.54,9527.14,0.01,0.99,0.98,145.63,11954.67,0.19,SELL,UP
2026-03-30 15:26:34,2026-03-30 11:26:34,GG,94,0.01,0.99,0.98,215.74,9527.14,0.01,0.99,0.98,145.63,11954.77,0.19,SELL,UP
2026-03-30 15:26:35,2026-03-30 11:26:35,GG,95,0.01,0.99,0.98,215.79,9527.14,0.01,0.99,0.98,145.63,11959.52,0.2,BUY,UP
2026-03-30 15:26:37,2026-03-30 11:26:37,GG,97,0.01,0.99,0.98,205.69,9527.14,0.01,0.99,0.98,145.63,11764.67,0.22,BUY,UP
2026-03-30 15:26:38,2026-03-30 11:26:38,GG,98,0.01,0.99,0.98,205.79,9527.14,0.01,0.99,0.98,145.63,11959.52,0.22,BUY,UP
2026-03-30 15:26:40,2026-03-30 11:26:40,GG,100,0.01,0.99,0.98,215.94,9527.14,0.01,0.99,0.98,145.63,11949.92,0.22,SELL,UP
2026-03-30 15:26:41,2026-03-30 11:26:41,GG,101,0.01,0.99,0.98,205.79,9527.14,0.01,0.99,0.98,145.63,11774.47,0.23,BUY,UP
2026-03-30 15:26:43,2026-03-30 11:26:43,GG,103,0.01,0.99,0.98,205.54,9527.14,0.01,0.99,0.98,145.63,11764.77,0.25,BUY,UP
2026-03-30 15:26:44,2026-03-30 11:26:44,GG,104,0.01,0.99,0.98,205.94,9527.14,0.01,0.99,0.98,145.63,11764.72,0.25,BUY,UP
2026-03-30 15:26:46,2026-03-30 11:26:46,GG,106,0.01,0.99,0.98,205.54,9527.14,0.01,0.99,0.98,145.63,11759.92,0.25,BUY,UP
2026-03-30 15:26:47,2026-03-30 11:26:47,GG,107,0.01,0.99,0.98,205.74,9527.14,0.01,0.99,0.98,145.63,11764.72,0.19,SELL,UP
2026-03-30 15:26:49,2026-03-30 11:26:49,GG,109,0.01,0.99,0.98,215.79,9532.09,0.01,0.99,0.98,145.63,11949.92,0.19,SELL,UP
2026-03-30 15:26:51,2026-03-30 11:26:51,GG,111,0.01,0.99,0.98,215.94,9527.14,0.01,0.99,0.98,145.63,11764.77,0.2,BUY,UP
2026-03-30 15:26:52,2026-03-30 11:26:52,GG,112,0.01,0.99,0.98,205.69,9527.14,0.01,0.99,0.98,145.63,11759.92,0.23,SELL,UP
2026-03-30 15:26:54,2026-03-30 11:26:54,GG,114,0.01,0.99,0.98,205.79,9527.14,0.01,0.99,0.98,145.63,11769.52,0.21,SELL,UP
2026-03-30 15:26:55,2026-03-30 11:26:55,GG,115,0.01,0.99,0.98,205.74,9527.14,0.01,0.99,0.98,145.63,11759.92,0.21,SELL,UP
2026-03-30 15:26:57,2026-03-30 11:26:57,GG,117,0.01,0.99,0.98,205.74,9527.14,0.01,0.99,0.98,145.63,11764.72,0.22,BUY,UP
2026-03-30 15:26:58,2026-03-30 11:26:58,GG,118,0.01,0.99,0.98,205.54,9527.14,0.01,0.99,0.98,145.63,11764.67,0.22,BUY,UP
2026-03-30 15:27:00,2026-03-30 11:27:00,GG,120,0.01,0.99,0.98,205.69,9498.34,0.01,0.99,0.98,144.43,11764.77,0.21,SELL,UP
2026-03-30 15:27:01,2026-03-30 11:27:01,GG,121,0.01,0.99,0.98,205.69,9498.34,0.01,0.99,0.98,144.43,11769.52,0.2,BUY,UP
2026-03-30 15:27:03,2026-03-30 11:27:03,GG,123,0.01,0.99,0.98,205.69,9507.84,0.01,0.99,0.98,144.93,11764.67,0.15,SELL,UP
2026-03-30 15:27:05,2026-03-30 11:27:05,GG,125,0.01,0.99,0.98,205.54,9507.84,0.01,0.99,0.98,144.93,11764.77,0.17,BUY,UP
2026-03-30 15:27:06,2026-03-30 11:27:06,GG,126,0.01,0.99,0.98,205.99,9507.84,0.01,0.99,0.98,144.93,11774.42,0.14,SELL,UP
2026-03-30 15:27:08,2026-03-30 11:27:08,GG,128,0.01,0.99,0.98,220.69,9013.34,0.01,0.99,0.98,129.48,12249.72,0.22,BUY,UP
2026-03-30 15:27:09,2026-03-30 11:27:09,GG,129,0.01,0.99,0.98,220.54,9013.34,0.01,0.99,0.98,129.43,12249.77,0.2,SELL,UP
2026-03-30 15:27:11,2026-03-30 11:27:11,GG,131,0.01,0.99,0.98,220.54,9013.34,0.01,0.99,0.98,129.43,12254.52,0.2,SELL,UP
2026-03-30 15:27:12,2026-03-30 11:27:12,GG,132,0.01,0.99,0.98,220.99,9027.79,0.01,0.99,0.98,129.93,12264.22,0.17,SELL,UP
2026-03-30 15:27:14,2026-03-30 11:27:14,GG,134,0.01,0.99,0.98,221.19,9022.84,0.01,0.99,0.98,129.93,12449.42,0.17,SELL,UP
2026-03-30 15:27:15,2026-03-30 11:27:15,GG,135,0.01,0.99,0.98,220.99,9013.34,0.01,0.99,0.98,129.43,12254.62,0.15,SELL,UP
2026-03-30 15:27:17,2026-03-30 11:27:17,GG,137,0.01,0.99,0.98,229.04,9022.84,0.01,0.99,0.98,129.98,12456.42,0.15,SELL,UP
2026-03-30 15:27:18,2026-03-30 11:27:18,GG,138,0.01,0.99,0.98,227.19,9022.84,0.01,0.99,0.98,129.93,12458.42,0.15,BUY,UP
2026-03-30 15:27:20,2026-03-30 11:27:20,GG,140,0.01,0.99,0.98,235.04,9022.84,0.01,0.99,0.98,129.93,12650.27,0.14,SELL,UP
2026-03-30 15:27:22,2026-03-30 11:27:22,GG,142,0.01,0.99,0.98,234.84,9022.84,0.01,0.99,0.98,129.93,12640.62,0.14,BUY,UP
2026-03-30 15:27:23,2026-03-30 11:27:23,GG,143,0.01,0.99,0.98,234.94,9022.84,0.01,0.99,0.98,129.93,12635.87,0.14,BUY,UP
2026-03-30 15:27:25,2026-03-30 11:27:25,GG,145,0.01,0.99,0.98,234.69,9022.84,0.01,0.99,0.98,129.93,12630.92,0.16,BUY,UP
2026-03-30 15:27:26,2026-03-30 11:27:26,GG,146,0.01,0.99,0.98,220.69,9013.34,0.01,0.99,0.98,129.43,12249.77,0.18,BUY,UP
2026-03-30 15:27:28,2026-03-30 11:27:28,GG,148,0.01,0.99,0.98,220.54,9013.34,0.01,0.99,0.98,129.43,12249.72,0.26,BUY,UP
2026-03-30 15:27:29,2026-03-30 11:27:29,GG,149,0.01,0.99,0.98,220.69,9018.29,0.01,0.99,0.98,129.43,12342.91,0.22,BUY,UP
