timestamp_utc,timestamp_et,sequence_type,seconds_elapsed,yes_best_bid,yes_best_ask,yes_spread,yes_bid_liq,yes_ask_liq,no_best_bid,no_best_ask,no_spread,no_bid_liq,no_ask_liq,last_trade_price,last_trade_side,candle_outcome
2026-03-30 14:10:02,2026-03-30 10:10:02,RR,2,0.01,0.99,0.98,188.19,13415.28,0.01,0.99,0.98,256.09,11265.1,0.91,BUY,PENDING
2026-03-30 14:10:04,2026-03-30 10:10:04,RR,4,0.01,0.99,0.98,187.64,13811.73,0.01,0.99,0.98,277.38,11255.6,0.9,BUY,PENDING
2026-03-30 14:10:06,2026-03-30 10:10:06,RR,6,0.01,0.99,0.98,187.64,13897.76,0.01,0.99,0.98,251.63,11255.6,0.92,BUY,PENDING
2026-03-30 14:10:07,2026-03-30 10:10:07,RR,7,0.01,0.99,0.98,187.64,13967.28,0.01,0.99,0.98,247.39,11255.6,0.94,BUY,PENDING
2026-03-30 14:10:09,2026-03-30 10:10:09,RR,9,0.01,0.99,0.98,187.64,13878.54,0.01,0.99,0.98,237.16,11255.6,0.95,BUY,PENDING
2026-03-30 14:10:10,2026-03-30 10:10:10,RR,10,0.01,0.99,0.98,187.69,15017.36,0.01,0.99,0.98,230.44,11255.6,0.92,SELL,PENDING
2026-03-30 14:10:12,2026-03-30 10:10:12,RR,12,0.01,0.99,0.98,187.04,15529.98,0.01,0.99,0.98,302.44,11241.2,0.93,BUY,PENDING
2026-03-30 14:10:13,2026-03-30 10:10:13,RR,13,0.01,0.99,0.98,185.84,15310.29,0.01,0.99,0.98,304.83,11212.4,0.92,SELL,PENDING
2026-03-30 14:10:15,2026-03-30 10:10:15,RR,15,0.01,0.99,0.98,185.64,15310.24,0.01,0.99,0.98,305.58,11207.6,0.93,BUY,PENDING
2026-03-30 14:10:16,2026-03-30 10:10:16,RR,16,0.01,0.99,0.98,185.64,15113.57,0.01,0.99,0.98,301.55,11207.6,0.91,SELL,PENDING
2026-03-30 14:10:18,2026-03-30 10:10:18,RR,18,0.01,0.99,0.98,185.64,15211.85,0.01,0.99,0.98,301.72,11207.6,0.92,BUY,PENDING
2026-03-30 14:10:19,2026-03-30 10:10:19,RR,19,0.01,0.99,0.98,185.64,14949.87,0.01,0.99,0.98,298.25,11207.6,0.92,BUY,PENDING
2026-03-30 14:10:21,2026-03-30 10:10:21,RR,21,0.01,0.99,0.98,185.69,15155.97,0.01,0.99,0.98,296.3,11207.6,0.9,SELL,PENDING
2026-03-30 14:10:22,2026-03-30 10:10:22,RR,22,0.01,0.99,0.98,185.64,15007.28,0.01,0.99,0.98,305.94,11207.6,0.91,BUY,PENDING
2026-03-30 14:10:24,2026-03-30 10:10:24,RR,24,0.01,0.99,0.98,185.64,15355.3,0.01,0.99,0.98,302.36,11207.6,0.91,BUY,PENDING
2026-03-30 14:10:25,2026-03-30 10:10:25,RR,25,0.01,0.99,0.98,185.64,15480.16,0.01,0.99,0.98,307.64,11207.6,0.93,BUY,PENDING
