timestamp_utc,timestamp_et,sequence_type,seconds_elapsed,yes_best_bid,yes_best_ask,yes_spread,yes_bid_liq,yes_ask_liq,no_best_bid,no_best_ask,no_spread,no_bid_liq,no_ask_liq,last_trade_price,last_trade_side,candle_outcome
2026-03-30 10:40:02,2026-03-30 06:40:02,GG,2,0.01,0.99,0.98,206.57,11815.1,0.01,0.99,0.98,196.44,12015.65,0.41,BUY,DOWN
2026-03-30 10:40:04,2026-03-30 06:40:04,GG,4,0.01,0.99,0.98,205.77,11805.6,0.01,0.99,0.98,195.94,11996.45,0.39,SELL,DOWN
2026-03-30 10:40:05,2026-03-30 06:40:05,GG,5,0.01,0.99,0.98,205.77,11805.6,0.01,0.99,0.98,195.94,11996.45,0.39,BUY,DOWN
2026-03-30 10:40:07,2026-03-30 06:40:07,GG,7,0.01,0.99,0.98,190.77,12290.6,0.01,0.99,0.98,210.94,11506.6,0.39,BUY,DOWN
2026-03-30 10:40:08,2026-03-30 06:40:08,GG,8,0.01,0.99,0.98,191.02,12290.6,0.01,0.99,0.98,210.94,11516.2,0.37,SELL,DOWN
2026-03-30 10:40:10,2026-03-30 06:40:10,GG,10,0.01,0.99,0.98,206.02,11805.6,0.01,0.99,0.98,195.94,12001.2,0.39,BUY,DOWN
2026-03-30 10:40:11,2026-03-30 06:40:11,GG,11,0.01,0.99,0.98,206.02,11805.6,0.01,0.99,0.98,195.94,12001.2,0.41,BUY,DOWN
2026-03-30 10:40:13,2026-03-30 06:40:13,GG,13,0.01,0.99,0.98,206.02,11805.6,0.01,0.99,0.98,195.94,12001.2,0.4,BUY,DOWN
2026-03-30 10:40:14,2026-03-30 06:40:14,GG,14,0.01,0.99,0.98,206.02,11805.6,0.01,0.99,0.98,195.99,12001.2,0.43,BUY,DOWN
2026-03-30 10:40:16,2026-03-30 06:40:16,GG,16,0.01,0.99,0.98,206.02,11805.6,0.01,0.99,0.98,195.94,12001.2,0.37,BUY,DOWN
2026-03-30 10:40:17,2026-03-30 06:40:17,GG,17,0.01,0.99,0.98,205.77,11805.6,0.01,0.99,0.98,195.94,12001.2,0.34,SELL,DOWN
2026-03-30 10:40:19,2026-03-30 06:40:19,GG,19,0.01,0.99,0.98,206.02,11810.55,0.01,0.99,0.98,195.94,12001.2,0.34,SELL,DOWN
2026-03-30 10:40:20,2026-03-30 06:40:20,GG,20,0.01,0.99,0.98,206.02,11805.6,0.01,0.99,0.98,195.94,12001.2,0.34,SELL,DOWN
2026-03-30 10:40:22,2026-03-30 06:40:22,GG,22,0.01,0.99,0.98,205.97,11805.6,0.01,0.99,0.98,195.99,12001.25,0.34,SELL,DOWN
2026-03-30 10:40:23,2026-03-30 06:40:23,GG,23,0.01,0.99,0.98,205.97,11805.6,0.01,0.99,0.98,195.94,12001.25,0.36,BUY,DOWN
2026-03-30 10:40:25,2026-03-30 06:40:25,GG,25,0.01,0.99,0.98,205.97,11805.6,0.01,0.99,0.98,195.94,12001.25,0.36,BUY,DOWN
