timestamp_et,sequence_type,seconds_elapsed,up_bid,up_ask,up_bid_liq,up_ask_liq,up_last,down_bid,down_ask,down_bid_liq,down_ask_liq,down_last,candle_outcome
2026-04-02 04:55:02,RR,2,0.01,0.99,142.14,9773.59,0.7,0.01,0.99,142.14,9811.42,0.31,DOWN
2026-04-02 04:55:04,RR,4,0.01,0.99,137.14,9770.84,0.7,0.01,0.99,139.89,9716.42,0.32,DOWN
2026-04-02 04:55:06,RR,6,0.01,0.99,137.14,9770.84,0.7,0.01,0.99,139.89,9716.42,0.32,DOWN
2026-04-02 04:55:07,RR,7,0.01,0.99,142.14,9768.84,0.69,0.01,0.99,141.89,9811.42,0.32,DOWN
2026-04-02 04:55:09,RR,9,0.01,0.99,142.14,9768.74,0.69,0.01,0.99,141.99,9811.42,0.32,DOWN
2026-04-02 04:55:11,RR,11,0.01,0.99,142.19,9773.69,0.68,0.01,0.99,142.04,9816.37,0.33,DOWN
2026-04-02 04:55:13,RR,13,0.01,0.99,142.14,9775.79,0.67,0.01,0.99,142.06,9811.42,0.33,DOWN
2026-04-02 04:55:14,RR,14,0.01,0.99,142.14,9907.06,0.67,0.01,0.99,143.39,9811.42,0.33,DOWN
2026-04-02 04:55:16,RR,16,0.01,0.99,141.68,9912.01,0.68,0.01,0.99,143.44,9792.04,0.33,DOWN
2026-04-02 04:55:18,RR,18,0.01,0.99,141.68,9912.01,0.68,0.01,0.99,143.44,9792.04,0.33,DOWN
2026-04-02 04:55:20,RR,20,0.01,0.99,141.68,9921.88,0.68,0.01,0.99,143.85,9792.04,0.33,DOWN
2026-04-02 04:55:21,RR,21,0.01,0.99,131.68,8931.88,0.68,0.01,0.99,133.8,8802.04,0.33,DOWN
2026-04-02 04:55:23,RR,23,0.01,0.99,131.68,8926.93,0.7,0.01,0.99,133.8,8802.04,0.33,DOWN
2026-04-02 04:55:25,RR,25,0.01,0.99,131.68,8926.93,0.72,0.01,0.99,133.8,8802.04,0.27,DOWN
2026-04-02 04:55:27,RR,27,0.01,0.99,126.68,8928.93,0.73,0.01,0.99,131.8,8707.04,0.28,DOWN
2026-04-02 04:55:28,RR,28,0.01,0.99,126.68,8928.93,0.73,0.01,0.99,131.6,8707.04,0.31,DOWN
2026-04-02 04:55:30,RR,30,0.01,0.99,126.68,8929.33,0.73,0.01,0.99,126.39,8550.0,0.3,DOWN
2026-04-02 04:55:32,RR,32,0.01,0.99,121.67,8767.34,0.71,0.01,0.99,126.39,8545.05,0.3,DOWN
2026-04-02 04:55:34,RR,34,0.01,0.99,121.67,8767.34,0.72,0.01,0.99,126.29,8545.05,0.3,DOWN
2026-04-02 04:55:35,RR,35,0.01,0.99,121.44,8757.44,0.72,0.01,0.99,126.29,8539.44,0.29,DOWN
2026-04-02 04:55:37,RR,37,0.01,0.99,121.44,8757.44,0.72,0.01,0.99,126.29,8539.44,0.29,DOWN
