timestamp_et,sequence_type,seconds_elapsed,up_bid,up_ask,up_bid_liq,up_ask_liq,up_last,down_bid,down_ask,down_bid_liq,down_ask_liq,down_last,candle_outcome
2026-04-01 04:40:02,GG,2,0.01,0.99,161.35,4734.42,0.11,0.01,0.99,119.2,5377.89,0.9,UP
2026-04-01 04:40:03,GG,3,0.01,0.99,146.65,4734.42,0.11,0.01,0.99,119.2,5315.14,0.89,UP
2026-04-01 04:40:05,GG,5,0.01,0.99,164.13,4734.42,0.09,0.01,0.99,119.2,5711.91,0.91,UP
2026-04-01 04:40:07,GG,7,0.01,0.99,164.73,4734.42,0.11,0.01,0.99,119.7,6111.88,0.9,UP
2026-04-01 04:40:08,GG,8,0.01,0.99,177.08,4743.92,0.11,0.01,0.99,119.7,6588.81,0.9,UP
2026-04-01 04:40:10,GG,10,0.01,0.99,186.16,4743.92,0.11,0.01,0.99,119.7,6950.66,0.89,UP
2026-04-01 04:40:11,GG,11,0.01,0.99,188.72,4743.92,0.11,0.01,0.99,119.2,6867.91,0.89,UP
2026-04-01 04:40:13,GG,13,0.01,0.99,150.86,4734.42,0.14,0.01,0.99,119.2,5811.96,0.86,UP
2026-04-01 04:40:14,GG,14,0.01,0.99,157.98,4734.42,0.14,0.01,0.99,119.2,6281.84,0.86,UP
2026-04-01 04:40:16,GG,16,0.01,0.99,158.98,4734.42,0.15,0.01,0.99,119.2,6281.84,0.85,UP
2026-04-01 04:40:18,GG,18,0.01,0.99,157.98,4734.42,0.15,0.01,0.99,119.2,6262.84,0.85,UP
2026-04-01 04:40:19,GG,19,0.01,0.99,158.03,4716.34,0.15,0.01,0.99,118.75,6267.79,0.85,UP
2026-04-01 04:40:21,GG,21,0.01,0.99,157.98,4716.34,0.15,0.01,0.99,118.75,6153.94,0.85,UP
2026-04-01 04:40:22,GG,22,0.01,0.99,169.05,4716.34,0.16,0.01,0.99,118.75,6774.64,0.85,UP
2026-04-01 04:40:24,GG,24,0.01,0.99,170.13,4716.34,0.15,0.01,0.99,118.75,6665.74,0.85,UP
2026-04-01 04:40:25,GG,25,0.01,0.99,170.18,4716.34,0.15,0.01,0.99,119.25,5907.99,0.86,UP
2026-04-01 04:40:27,GG,27,0.01,0.99,167.88,4725.84,0.13,0.01,0.99,119.25,6786.91,0.88,UP
2026-04-01 04:40:28,GG,28,0.01,0.99,167.58,4725.84,0.14,0.01,0.99,119.25,6782.16,0.88,UP
2026-04-01 04:40:30,GG,30,0.01,0.99,167.63,4725.84,0.14,0.01,0.99,119.25,6777.21,0.87,UP
2026-04-01 04:40:32,GG,32,0.01,0.99,157.59,4402.83,0.14,0.01,0.99,109.26,6459.15,0.88,UP
2026-04-01 04:40:33,GG,33,0.01,0.99,155.09,4393.33,0.14,0.01,0.99,108.76,6246.7,0.85,UP
2026-04-01 04:40:35,GG,35,0.01,0.99,155.15,4393.33,0.17,0.01,0.99,108.76,6257.21,0.84,UP
2026-04-01 04:40:36,GG,36,0.01,0.99,155.2,4393.33,0.17,0.01,0.99,108.76,6252.26,0.85,UP
2026-04-01 04:40:38,GG,38,0.01,0.99,157.37,4393.33,0.16,0.01,0.99,108.76,6477.79,0.84,UP
2026-04-01 04:40:39,GG,39,0.01,0.99,158.5,4393.33,0.16,0.01,0.99,108.76,6498.33,0.84,UP
2026-04-01 04:40:41,GG,41,0.01,0.99,138.45,4393.33,0.16,0.01,0.99,108.76,6113.38,0.85,UP
2026-04-01 04:40:42,GG,42,0.01,0.99,129.65,4393.33,0.12,0.01,0.99,108.76,5488.73,0.88,UP
2026-04-01 04:40:44,GG,44,0.01,0.99,137.91,4393.33,0.12,0.01,0.99,108.76,6471.36,0.9,UP
2026-04-01 04:40:46,GG,46,0.01,0.99,148.05,4393.33,0.11,0.01,0.99,108.76,6462.73,0.9,UP
2026-04-01 04:40:47,GG,47,0.01,0.99,148.05,4393.33,0.11,0.01,0.99,108.76,6457.78,0.9,UP
2026-04-01 04:40:49,GG,49,0.01,0.99,167.91,3908.33,0.11,0.01,0.99,93.76,6886.11,0.89,UP
2026-04-01 04:40:50,GG,50,0.01,0.99,186.94,3908.33,0.09,0.01,0.99,93.76,7592.89,0.92,UP
2026-04-01 04:40:52,GG,52,0.01,0.99,184.99,3908.33,0.09,0.01,0.99,93.76,7584.84,0.91,UP
2026-04-01 04:40:53,GG,53,0.01,0.99,186.24,3908.33,0.09,0.01,0.99,93.76,6480.86,0.91,UP
2026-04-01 04:40:55,GG,55,0.01,0.99,157.29,3908.33,0.08,0.01,0.99,93.76,7366.7,0.92,UP
2026-04-01 04:40:56,GG,56,0.01,0.99,176.16,3908.33,0.08,0.01,0.99,93.76,7758.97,0.92,UP
2026-04-01 04:40:58,GG,58,0.01,0.99,175.16,3908.33,0.08,0.01,0.99,93.76,7378.65,0.92,UP
2026-04-01 04:41:00,GG,60,0.01,0.99,162.91,3908.33,0.08,0.01,0.99,93.76,7350.6,0.92,UP
2026-04-01 04:41:01,GG,61,0.01,0.99,153.75,3908.33,0.08,0.01,0.99,93.76,7352.88,0.94,UP
