timestamp_utc,timestamp_et,sequence_type,seconds_elapsed,yes_best_bid,yes_best_ask,yes_spread,yes_bid_liq,yes_ask_liq,no_best_bid,no_best_ask,no_spread,no_bid_liq,no_ask_liq,last_trade_price,last_trade_side,candle_outcome
2026-03-30 11:40:02,2026-03-30 07:40:02,GG,2,0.01,0.99,0.98,141.71,10309.48,0.01,0.99,0.98,152.22,10767.59,0.05,BUY,PENDING
2026-03-30 11:40:04,2026-03-30 07:40:04,GG,4,0.01,0.99,0.98,125.29,10309.48,0.01,0.99,0.98,152.22,10328.3,0.05,BUY,PENDING
2026-03-30 11:40:05,2026-03-30 07:40:05,GG,5,0.01,0.99,0.98,118.18,10314.43,0.01,0.99,0.98,152.22,10180.28,0.05,BUY,PENDING
2026-03-30 11:40:07,2026-03-30 07:40:07,GG,7,0.01,0.99,0.98,120.46,10309.48,0.01,0.99,0.98,152.22,12062.16,0.05,BUY,PENDING
2026-03-30 11:40:09,2026-03-30 07:40:09,GG,9,0.01,0.99,0.98,160.26,10309.48,0.01,0.99,0.98,152.22,12305.82,0.03,BUY,PENDING
2026-03-30 11:40:10,2026-03-30 07:40:10,GG,10,0.01,0.99,0.98,170.85,10309.48,0.01,0.99,0.98,152.22,12427.95,0.03,BUY,PENDING
2026-03-30 11:40:12,2026-03-30 07:40:12,GG,12,0.01,0.99,0.98,174.09,10309.48,0.01,0.99,0.98,152.22,12901.61,0.03,BUY,PENDING
2026-03-30 11:40:13,2026-03-30 07:40:13,GG,13,0.01,0.99,0.98,172.91,10309.48,0.01,0.99,0.98,152.22,12990.94,0.03,BUY,PENDING
2026-03-30 11:40:15,2026-03-30 07:40:15,GG,15,0.01,0.99,0.98,165.9,10314.43,0.01,0.99,0.98,152.22,12989.5,0.03,BUY,PENDING
2026-03-30 11:40:16,2026-03-30 07:40:16,GG,16,0.01,0.99,0.98,163.95,10309.48,0.01,0.99,0.98,152.22,13201.28,0.03,BUY,PENDING
2026-03-30 11:40:18,2026-03-30 07:40:18,GG,18,0.01,0.99,0.98,148.72,10309.48,0.01,0.99,0.98,152.22,12284.04,0.03,BUY,PENDING
2026-03-30 11:40:19,2026-03-30 07:40:19,GG,19,0.01,0.99,0.98,150.52,10309.48,0.01,0.99,0.98,152.22,12462.1,0.03,BUY,PENDING
