timestamp_et,sequence_type,seconds_elapsed,up_ask,up_liq_$,down_ask,down_liq_$,candle_outcome
2026-03-31 11:10:02,GG,2,0.999,9205.7,0.999,9242.5,PENDING
2026-03-31 11:10:03,GG,3,0.999,9205.7,0.999,9256.53,PENDING
2026-03-31 11:10:04,GG,4,0.999,9828.41,0.999,9295.09,PENDING
2026-03-31 11:10:06,GG,6,0.999,9828.41,0.999,9256.53,PENDING
2026-03-31 11:10:07,GG,7,0.999,9828.41,0.999,9256.63,PENDING
2026-03-31 11:10:08,GG,8,0.999,9828.41,0.999,9256.68,PENDING
2026-03-31 11:10:09,GG,9,0.999,9828.41,0.999,9256.68,PENDING
2026-03-31 11:10:11,GG,11,0.999,9828.41,0.999,9256.68,PENDING
2026-03-31 11:10:12,GG,12,0.999,9828.41,0.999,9256.68,PENDING
2026-03-31 11:10:13,GG,13,0.999,9828.41,0.999,9256.68,PENDING
2026-03-31 11:10:14,GG,14,0.999,9828.41,0.999,9256.68,PENDING
2026-03-31 11:10:16,GG,16,0.999,9828.41,0.999,9256.73,PENDING
2026-03-31 11:10:17,GG,17,0.999,9828.41,0.999,9256.73,PENDING
2026-03-31 11:10:18,GG,18,0.999,9828.41,0.999,9256.68,PENDING
2026-03-31 11:10:20,GG,20,0.999,9828.41,0.999,9256.68,PENDING
2026-03-31 11:10:21,GG,21,0.999,9828.41,0.999,9256.68,PENDING
2026-03-31 11:10:22,GG,22,0.999,9828.41,0.999,9256.73,PENDING
2026-03-31 11:10:23,GG,23,0.999,9828.41,0.999,9256.73,PENDING
2026-03-31 11:10:25,GG,25,0.999,9828.41,0.999,11217.82,PENDING
2026-03-31 11:10:26,GG,26,0.999,9828.41,0.999,9256.73,PENDING
2026-03-31 11:10:27,GG,27,0.999,9828.41,0.999,9256.73,PENDING
2026-03-31 11:10:28,GG,28,0.999,9205.7,0.999,11227.49,PENDING
2026-03-31 11:10:30,GG,30,0.999,9205.7,0.999,9256.73,PENDING
2026-03-31 11:10:31,GG,31,0.999,9205.7,0.999,9256.73,PENDING
2026-03-31 11:10:32,GG,32,0.999,9205.7,0.999,9594.06,PENDING
2026-03-31 11:10:33,GG,33,0.999,9205.7,0.999,9594.06,PENDING
2026-03-31 11:10:35,GG,35,0.999,9205.7,0.999,9256.73,PENDING
2026-03-31 11:10:36,GG,36,0.999,9205.7,0.999,9256.73,PENDING
2026-03-31 11:10:37,GG,37,0.999,9205.7,0.999,9256.73,PENDING
2026-03-31 11:10:39,GG,39,0.999,9205.7,0.999,9256.73,PENDING
2026-03-31 11:10:40,GG,40,0.999,9700.7,0.999,9594.4,PENDING
2026-03-31 11:10:41,GG,41,0.999,9700.7,0.999,11590.74,PENDING
2026-03-31 11:10:42,GG,42,0.999,9700.7,0.999,11252.73,PENDING
2026-03-31 11:10:44,GG,44,0.999,9700.7,0.999,11252.73,PENDING
