timestamp_et,sequence_type,seconds_elapsed,up_bid,up_ask,up_bid_liq,up_ask_liq,up_last,down_bid,down_ask,down_bid_liq,down_ask_liq,down_last,candle_outcome
2026-04-02 07:55:02,RR,2,0.01,0.99,123.96,10531.93,0.9,0.01,0.99,162.14,9181.76,0.11,DOWN
2026-04-02 07:55:04,RR,4,0.01,0.99,123.74,10211.95,0.9,0.01,0.99,153.24,9174.98,0.09,DOWN
2026-04-02 07:55:05,RR,5,0.01,0.99,123.54,10330.28,0.91,0.01,0.99,160.79,9170.18,0.09,DOWN
2026-04-02 07:55:07,RR,7,0.01,0.99,123.34,11059.28,0.91,0.01,0.99,180.95,9160.58,0.09,DOWN
2026-04-02 07:55:09,RR,9,0.01,0.99,122.94,11158.42,0.92,0.01,0.99,182.59,9155.78,0.09,DOWN
2026-04-02 07:55:11,RR,11,0.01,0.99,122.74,11180.27,0.92,0.01,0.99,178.02,9146.18,0.08,DOWN
2026-04-02 07:55:13,RR,13,0.01,0.99,122.34,10953.48,0.92,0.01,0.99,165.78,9141.38,0.08,DOWN
2026-04-02 07:55:14,RR,14,0.01,0.99,122.14,11339.48,0.92,0.01,0.99,180.32,9136.58,0.09,DOWN
2026-04-02 07:55:16,RR,16,0.01,0.99,122.14,11550.03,0.92,0.01,0.99,182.65,9136.58,0.09,DOWN
2026-04-02 07:55:18,RR,18,0.01,0.99,111.14,10303.41,0.91,0.01,0.99,165.8,8072.58,0.11,DOWN
2026-04-02 07:55:20,RR,20,0.01,0.99,111.14,10753.78,0.9,0.01,0.99,172.33,8072.58,0.1,DOWN
2026-04-02 07:55:21,RR,21,0.01,0.99,111.14,10442.0,0.93,0.01,0.99,193.28,8072.58,0.07,DOWN
2026-04-02 07:55:23,RR,23,0.01,0.99,111.29,10826.53,0.95,0.01,0.99,175.48,8072.58,0.05,DOWN
2026-04-02 07:55:25,RR,25,0.01,0.99,111.19,11080.95,0.95,0.01,0.99,186.93,8072.58,0.05,DOWN
2026-04-02 07:55:27,RR,27,0.01,0.99,111.14,11189.58,0.95,0.01,0.99,183.37,8072.58,0.05,DOWN
2026-04-02 07:55:28,RR,28,0.01,0.99,111.14,10619.32,0.95,0.01,0.99,155.65,8072.58,0.05,DOWN
