timestamp_et,sequence_type,seconds_elapsed,up_bid,up_ask,up_bid_liq,up_ask_liq,up_last,down_bid,down_ask,down_bid_liq,down_ask_liq,down_last,candle_outcome
2026-04-01 09:10:02,RR,2,0.01,0.99,100.91,7219.95,0.81,0.01,0.99,174.07,4105.15,0.19,PENDING
2026-04-01 09:10:04,RR,4,0.01,0.99,100.91,7314.95,0.81,0.01,0.99,183.07,4105.15,0.19,PENDING
2026-04-01 09:10:06,RR,6,0.01,0.99,100.91,7314.95,0.81,0.01,0.99,183.07,4105.15,0.2,PENDING
2026-04-01 09:10:07,RR,7,0.01,0.99,100.91,7314.95,0.8,0.01,0.99,183.07,4105.15,0.19,PENDING
2026-04-01 09:10:09,RR,9,0.01,0.99,100.91,7245.9,0.77,0.01,0.99,182.12,4055.65,0.23,PENDING
2026-04-01 09:10:10,RR,10,0.01,0.99,99.91,7240.95,0.76,0.01,0.99,182.07,4031.15,0.24,PENDING
2026-04-01 09:10:12,RR,12,0.01,0.99,99.91,7240.95,0.74,0.01,0.99,182.12,4031.15,0.26,PENDING
2026-04-01 09:10:14,RR,14,0.01,0.99,99.91,7240.95,0.74,0.01,0.99,182.07,4031.15,0.26,PENDING
2026-04-01 09:10:15,RR,15,0.01,0.99,99.91,7240.95,0.74,0.01,0.99,182.07,4031.15,0.26,PENDING
2026-04-01 09:10:17,RR,17,0.01,0.99,99.91,7240.95,0.74,0.01,0.99,182.07,4031.15,0.26,PENDING
2026-04-01 09:10:18,RR,18,0.01,0.99,99.91,7240.95,0.74,0.01,0.99,182.07,4031.15,0.26,PENDING
2026-04-01 09:10:20,RR,20,0.01,0.99,99.91,7245.9,0.71,0.01,0.99,182.07,4031.15,0.28,PENDING
2026-04-01 09:10:22,RR,22,0.01,0.99,99.91,7225.6,0.66,0.01,0.99,181.43,4031.15,0.35,PENDING
2026-04-01 09:10:23,RR,23,0.01,0.99,99.91,7027.6,0.59,0.01,0.99,179.6,4031.15,0.39,PENDING
2026-04-01 09:10:25,RR,25,0.01,0.99,99.91,7039.72,0.6,0.01,0.99,179.58,4031.15,0.39,PENDING
2026-04-01 09:10:26,RR,26,0.01,0.99,99.91,7034.77,0.67,0.01,0.99,179.58,4031.15,0.34,PENDING
2026-04-01 09:10:28,RR,28,0.01,0.99,99.91,7049.22,0.64,0.01,0.99,180.08,4036.1,0.35,PENDING
2026-04-01 09:10:30,RR,30,0.01,0.99,99.91,7049.22,0.7,0.01,0.99,178.23,4031.15,0.31,PENDING
2026-04-01 09:10:31,RR,31,0.01,0.99,89.97,6683.06,0.69,0.01,0.99,168.24,3708.14,0.31,PENDING
2026-04-01 09:10:33,RR,33,0.01,0.99,89.92,6673.56,0.61,0.01,0.99,167.74,3708.14,0.4,PENDING
2026-04-01 09:10:34,RR,34,0.01,0.99,89.92,6655.88,0.59,0.01,0.99,167.42,3708.14,0.41,PENDING
2026-04-01 09:10:36,RR,36,0.01,0.99,89.92,6655.88,0.62,0.01,0.99,167.42,3708.14,0.37,PENDING
2026-04-01 09:10:38,RR,38,0.01,0.99,89.92,6634.29,0.67,0.01,0.99,166.52,3708.14,0.33,PENDING
2026-04-01 09:10:39,RR,39,0.01,0.99,89.92,6629.34,0.69,0.01,0.99,166.47,3708.14,0.31,PENDING
2026-04-01 09:10:41,RR,41,0.01,0.99,89.92,6629.34,0.71,0.01,0.99,166.47,3708.14,0.27,PENDING
2026-04-01 09:10:42,RR,42,0.01,0.99,89.92,6624.39,0.71,0.01,0.99,166.42,3708.14,0.31,PENDING
2026-04-01 09:10:44,RR,44,0.01,0.99,89.92,6625.39,0.68,0.01,0.99,165.42,3708.14,0.33,PENDING
2026-04-01 09:10:46,RR,46,0.01,0.99,89.97,6625.39,0.72,0.01,0.99,165.42,3708.14,0.28,PENDING
2026-04-01 09:10:47,RR,47,0.01,0.99,104.92,6145.34,0.76,0.01,0.99,150.42,4193.14,0.25,PENDING
2026-04-01 09:10:49,RR,49,0.01,0.99,104.92,6141.39,0.76,0.01,0.99,149.42,4193.14,0.24,PENDING
2026-04-01 09:10:50,RR,50,0.01,0.99,89.92,6626.39,0.75,0.01,0.99,164.42,3708.14,0.26,PENDING
2026-04-01 09:10:52,RR,52,0.01,0.99,89.92,6631.34,0.75,0.01,0.99,164.42,3708.14,0.26,PENDING
2026-04-01 09:10:54,RR,54,0.01,0.99,89.92,6626.39,0.7,0.01,0.99,164.42,3708.14,0.33,PENDING
2026-04-01 09:10:55,RR,55,0.01,0.99,89.92,6631.34,0.63,0.01,0.99,164.47,3708.14,0.4,PENDING
2026-04-01 09:10:57,RR,57,0.01,0.99,89.92,6631.08,0.61,0.01,0.99,151.68,4193.14,0.4,PENDING
2026-04-01 09:10:58,RR,58,0.01,0.99,104.92,6155.98,0.6,0.01,0.99,151.73,4193.14,0.39,PENDING
2026-04-01 09:11:00,RR,60,0.01,0.99,104.92,6182.67,0.6,0.01,0.99,161.35,3708.14,0.43,PENDING
2026-04-01 09:11:02,RR,62,0.01,0.99,89.92,6529.26,0.56,0.01,0.99,150.52,3708.14,0.45,PENDING
2026-04-01 09:11:03,RR,63,0.01,0.99,114.92,6050.11,0.56,0.01,0.99,154.62,4383.14,0.45,PENDING
2026-04-01 09:11:05,RR,65,0.01,0.99,114.92,6045.16,0.54,0.01,0.99,154.62,4383.14,0.47,PENDING
