timestamp_utc,timestamp_et,sequence_type,seconds_elapsed,yes_best_bid,yes_best_ask,yes_spread,yes_bid_liq,yes_ask_liq,no_best_bid,no_best_ask,no_spread,no_bid_liq,no_ask_liq,last_trade_price,last_trade_side,candle_outcome
2026-03-30 13:25:02,2026-03-30 09:25:02,RR,2,0.01,0.99,0.98,166.32,10611.65,0.01,0.99,0.98,238.65,11619.55,0.84,BUY,PENDING
2026-03-30 13:25:04,2026-03-30 09:25:04,RR,4,0.01,0.99,0.98,166.32,10804.16,0.01,0.99,0.98,240.64,11619.55,0.84,BUY,PENDING
2026-03-30 13:25:05,2026-03-30 09:25:05,RR,5,0.01,0.99,0.98,166.32,10799.26,0.01,0.99,0.98,241.54,11619.55,0.84,BUY,PENDING
2026-03-30 13:25:07,2026-03-30 09:25:07,RR,7,0.01,0.99,0.98,166.32,10816.1,0.01,0.99,0.98,241.01,11619.55,0.85,BUY,PENDING
2026-03-30 13:25:08,2026-03-30 09:25:08,RR,8,0.01,0.99,0.98,166.32,10839.2,0.01,0.99,0.98,242.28,11619.55,0.87,BUY,PENDING
2026-03-30 13:25:10,2026-03-30 09:25:10,RR,10,0.01,0.99,0.98,166.32,10905.65,0.01,0.99,0.98,245.03,11619.55,0.84,BUY,PENDING
2026-03-30 13:25:11,2026-03-30 09:25:11,RR,11,0.01,0.99,0.98,166.32,10744.15,0.01,0.99,0.98,236.53,11619.55,0.84,BUY,PENDING
2026-03-30 13:25:13,2026-03-30 09:25:13,RR,13,0.01,0.99,0.98,166.32,10744.15,0.01,0.99,0.98,236.38,11619.55,0.84,BUY,PENDING
2026-03-30 13:25:14,2026-03-30 09:25:14,RR,14,0.01,0.99,0.98,166.32,10744.15,0.01,0.99,0.98,236.53,11624.5,0.83,BUY,PENDING
2026-03-30 13:25:16,2026-03-30 09:25:16,RR,16,0.01,0.99,0.98,166.32,10744.1,0.01,0.99,0.98,236.33,11619.55,0.82,BUY,PENDING
2026-03-30 13:25:17,2026-03-30 09:25:17,RR,17,0.01,0.99,0.98,166.32,10547.35,0.01,0.99,0.98,228.38,11619.55,0.8,BUY,PENDING
2026-03-30 13:25:19,2026-03-30 09:25:19,RR,19,0.01,0.99,0.98,166.32,9951.61,0.01,0.99,0.98,210.07,11619.55,0.79,BUY,PENDING
2026-03-30 13:25:21,2026-03-30 09:25:21,RR,21,0.01,0.99,0.98,166.32,9152.57,0.01,0.99,0.98,185.11,11619.55,0.78,BUY,PENDING
2026-03-30 13:25:22,2026-03-30 09:25:22,RR,22,0.01,0.99,0.98,166.32,9157.52,0.01,0.99,0.98,185.11,11624.5,0.71,SELL,PENDING
2026-03-30 13:25:24,2026-03-30 09:25:24,RR,24,0.01,0.99,0.98,181.32,8667.57,0.01,0.99,0.98,170.11,12104.55,0.65,BUY,PENDING
2026-03-30 13:25:25,2026-03-30 09:25:25,RR,25,0.01,0.99,0.98,180.12,8509.85,0.01,0.99,0.98,168.89,12075.75,0.61,BUY,PENDING
2026-03-30 13:25:27,2026-03-30 09:25:27,RR,27,0.01,0.99,0.98,180.12,7933.26,0.01,0.99,0.98,153.96,12075.75,0.52,BUY,PENDING
2026-03-30 13:25:28,2026-03-30 09:25:28,RR,28,0.01,0.99,0.98,205.12,7498.21,0.01,0.99,0.98,157.9,12750.75,0.46,BUY,PENDING
2026-03-30 13:25:30,2026-03-30 09:25:30,RR,30,0.01,0.99,0.98,203.12,7897.91,0.01,0.99,0.98,174.2,12752.75,0.47,BUY,PENDING
2026-03-30 13:25:31,2026-03-30 09:25:31,RR,31,0.01,0.99,0.98,173.15,6991.88,0.01,0.99,0.98,134.65,11846.72,0.51,BUY,PENDING
2026-03-30 13:25:33,2026-03-30 09:25:33,RR,33,0.01,0.99,0.98,175.15,6274.85,0.01,0.99,0.98,128.65,11456.72,0.49,SELL,PENDING
2026-03-30 13:25:34,2026-03-30 09:25:34,RR,34,0.01,0.99,0.98,173.15,6274.85,0.01,0.99,0.98,128.65,11258.72,0.49,BUY,PENDING
2026-03-30 13:25:36,2026-03-30 09:25:36,RR,36,0.01,0.99,0.98,175.15,6078.85,0.01,0.99,0.98,128.65,11456.72,0.47,BUY,PENDING
2026-03-30 13:25:37,2026-03-30 09:25:37,RR,37,0.01,0.99,0.98,173.15,6482.75,0.01,0.99,0.98,134.75,11258.72,0.5,SELL,PENDING
2026-03-30 13:25:39,2026-03-30 09:25:39,RR,39,0.01,0.99,0.98,173.15,6303.64,0.01,0.99,0.98,126.29,11257.72,0.52,BUY,PENDING
