timestamp_et,sequence_type,seconds_elapsed,up_ask,up_liq_$,down_ask,down_liq_$,candle_outcome
2026-03-31 06:40:02,RR,2,0.99,8022.73,0.99,6849.03,PENDING
2026-03-31 06:40:03,RR,3,0.99,8022.73,0.99,6849.03,PENDING
2026-03-31 06:40:05,RR,5,0.99,7828.73,0.99,6849.03,PENDING
2026-03-31 06:40:06,RR,6,0.99,7876.78,0.99,6849.03,PENDING
2026-03-31 06:40:07,RR,7,0.99,8068.68,0.99,6849.03,PENDING
2026-03-31 06:40:08,RR,8,0.99,7888.33,0.99,6849.03,PENDING
2026-03-31 06:40:10,RR,10,0.99,7992.18,0.99,6849.03,PENDING
2026-03-31 06:40:11,RR,11,0.99,8011.03,0.99,6849.03,PENDING
2026-03-31 06:40:12,RR,12,0.99,8011.03,0.99,6858.53,PENDING
2026-03-31 06:40:13,RR,13,0.99,8006.23,0.99,6849.03,PENDING
2026-03-31 06:40:15,RR,15,0.99,8011.08,0.99,6849.03,PENDING
2026-03-31 06:40:16,RR,16,0.99,8025.84,0.99,6849.03,PENDING
2026-03-31 06:40:17,RR,17,0.99,8030.64,0.99,6849.03,PENDING
2026-03-31 06:40:18,RR,18,0.99,8030.64,0.99,6849.03,PENDING
2026-03-31 06:40:20,RR,20,0.99,8035.64,0.99,6858.53,PENDING
2026-03-31 06:40:21,RR,21,0.99,8030.69,0.99,6858.53,PENDING
2026-03-31 06:40:22,RR,22,0.99,8030.79,0.99,6858.53,PENDING
2026-03-31 06:40:24,RR,24,0.99,8030.79,0.99,6858.53,PENDING
2026-03-31 06:40:25,RR,25,0.99,8030.79,0.99,6858.53,PENDING
2026-03-31 06:40:26,RR,26,0.99,8035.74,0.99,6858.53,PENDING
2026-03-31 06:40:27,RR,27,0.99,8030.79,0.99,6858.53,PENDING
2026-03-31 06:40:29,RR,29,0.99,8030.79,0.99,6858.53,PENDING
2026-03-31 06:40:30,RR,30,0.99,8030.79,0.99,6858.53,PENDING
2026-03-31 06:40:31,RR,31,0.99,6536.76,0.99,5364.5,PENDING
2026-03-31 06:40:32,RR,32,0.99,6531.91,0.99,5354.7,PENDING
2026-03-31 06:40:34,RR,34,0.99,6041.96,0.99,5345.2,PENDING
2026-03-31 06:40:35,RR,35,0.99,6246.01,0.99,5345.2,PENDING
2026-03-31 06:40:36,RR,36,0.99,6134.01,0.99,5354.7,PENDING
2026-03-31 06:40:37,RR,37,0.99,6326.01,0.99,5354.7,PENDING
2026-03-31 06:40:39,RR,39,0.99,6138.96,0.99,5345.2,PENDING
2026-03-31 06:40:40,RR,40,0.99,6326.01,0.99,5345.2,PENDING
2026-03-31 06:40:41,RR,41,0.99,6321.26,0.99,5345.2,PENDING
2026-03-31 06:40:43,RR,43,0.99,6321.26,0.99,5345.2,PENDING
2026-03-31 06:40:44,RR,44,0.99,6791.21,0.99,4860.2,PENDING
2026-03-31 06:40:45,RR,45,0.99,6796.16,0.99,4860.2,PENDING
2026-03-31 06:40:46,RR,46,0.99,6623.96,0.99,4860.2,PENDING
