timestamp_et,sequence_type,seconds_elapsed,up_bid,up_ask,up_bid_liq,up_ask_liq,up_last,down_bid,down_ask,down_bid_liq,down_ask_liq,down_last,candle_outcome
2026-04-01 08:40:02,RR,2,0.01,0.0,107.42,0,0.99,0.0,0.99,0,4460.03,0.01,PENDING
2026-04-01 08:40:04,RR,4,0.01,0.0,107.42,0,0.99,0.0,0.99,0,4460.03,0.01,PENDING
2026-04-01 08:40:05,RR,5,0.01,0.0,112.42,0,0.99,0.0,0.99,0,4955.03,0.01,PENDING
2026-04-01 08:40:07,RR,7,0.01,0.0,112.42,0,0.99,0.0,0.99,0,4955.03,0.01,PENDING
2026-04-01 08:40:09,RR,9,0.01,0.0,112.42,0,0.99,0.0,0.99,0,4905.53,0.01,PENDING
2026-04-01 08:40:10,RR,10,0.01,0.0,111.42,0,0.99,0.0,0.99,0,4881.03,0.01,PENDING
2026-04-01 08:40:12,RR,12,0.01,0.0,111.42,0,0.99,0.0,0.99,0,4881.03,0.01,PENDING
2026-04-01 08:40:13,RR,13,0.01,0.0,111.42,0,0.99,0.0,0.99,0,4881.03,0.01,PENDING
2026-04-01 08:40:15,RR,15,0.01,0.0,111.42,0,0.99,0.0,0.99,0,4881.03,0.01,PENDING
2026-04-01 08:40:17,RR,17,0.01,0.0,111.42,0,0.99,0.0,0.99,0,4881.03,0.01,PENDING
2026-04-01 08:40:18,RR,18,0.01,0.0,111.42,0,0.99,0.0,0.99,0,4881.03,0.01,PENDING
2026-04-01 08:40:20,RR,20,0.01,0.0,111.42,0,0.99,0.0,0.99,0,4881.03,0.01,PENDING
2026-04-01 08:40:21,RR,21,0.01,0.0,111.42,0,0.99,0.0,0.99,0,4881.03,0.01,PENDING
2026-04-01 08:40:23,RR,23,0.01,0.0,111.42,0,0.99,0.0,0.99,0,4881.03,0.01,PENDING
2026-04-01 08:40:24,RR,24,0.01,0.0,111.42,0,0.99,0.0,0.99,0,4881.03,0.01,PENDING
2026-04-01 08:40:26,RR,26,0.01,0.0,111.42,0,0.99,0.0,0.99,0,4881.03,0.01,PENDING
2026-04-01 08:40:28,RR,28,0.01,0.0,111.42,0,0.99,0.0,0.99,0,4881.03,0.01,PENDING
2026-04-01 08:40:29,RR,29,0.01,0.0,111.42,0,0.99,0.0,0.99,0,4881.03,0.01,PENDING
2026-04-01 08:40:31,RR,31,0.01,0.0,101.43,0,0.99,0.0,0.99,0,4558.02,0.01,PENDING
2026-04-01 08:40:32,RR,32,0.01,0.0,101.43,0,0.99,0.0,0.99,0,4558.02,0.01,PENDING
2026-04-01 08:40:34,RR,34,0.01,0.0,101.43,0,0.99,0.0,0.99,0,4558.02,0.01,PENDING
2026-04-01 08:40:36,RR,36,0.01,0.0,101.43,0,0.99,0.0,0.99,0,4558.02,0.01,PENDING
2026-04-01 08:40:37,RR,37,0.01,0.0,101.43,0,0.99,0.0,0.99,0,4558.02,0.01,PENDING
2026-04-01 08:40:39,RR,39,0.01,0.0,101.43,0,0.99,0.0,0.99,0,4558.02,0.01,PENDING
2026-04-01 08:40:40,RR,40,0.01,0.0,101.43,0,0.99,0.0,0.99,0,4558.02,0.01,PENDING
2026-04-01 08:40:42,RR,42,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:40:43,RR,43,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:40:45,RR,45,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:40:47,RR,47,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:40:48,RR,48,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:40:50,RR,50,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:40:51,RR,51,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:40:53,RR,53,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:40:54,RR,54,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:40:56,RR,56,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:40:58,RR,58,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:40:59,RR,59,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:41:01,RR,61,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:41:02,RR,62,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:41:04,RR,64,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:41:06,RR,66,0.01,0.0,101.38,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:41:07,RR,67,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:41:09,RR,69,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:41:10,RR,70,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:41:12,RR,72,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:41:13,RR,73,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:41:15,RR,75,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:41:17,RR,77,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:41:18,RR,78,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:41:20,RR,80,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
2026-04-01 08:41:21,RR,81,0.01,0.0,101.33,0,0.99,0.0,0.99,0,4548.41,0.01,PENDING
