timestamp_et,sequence_type,seconds_elapsed,up_bid,up_ask,up_bid_liq,up_ask_liq,up_last,down_bid,down_ask,down_bid_liq,down_ask_liq,down_last,candle_outcome
2026-04-01 07:10:02,RR,2,0.01,0.99,108.38,5273.9,0.86,0.01,0.99,142.38,4365.43,0.15,UP
2026-04-01 07:10:04,RR,4,0.01,0.99,108.38,5095.9,0.87,0.01,0.99,140.33,4360.48,0.15,UP
2026-04-01 07:10:05,RR,5,0.01,0.99,108.38,5267.9,0.88,0.01,0.99,148.33,4360.48,0.13,UP
2026-04-01 07:10:07,RR,7,0.01,0.99,107.38,5243.4,0.88,0.01,0.99,147.83,4291.43,0.13,UP
2026-04-01 07:10:08,RR,8,0.01,0.99,107.38,5147.7,0.89,0.01,0.99,144.97,4286.48,0.11,UP
2026-04-01 07:10:10,RR,10,0.01,0.99,107.38,5116.21,0.89,0.01,0.99,145.97,4286.48,0.12,UP
2026-04-01 07:10:11,RR,11,0.01,0.99,107.38,5401.26,0.87,0.01,0.99,149.97,4291.43,0.13,UP
2026-04-01 07:10:13,RR,13,0.01,0.99,107.38,5277.78,0.87,0.01,0.99,157.0,4286.48,0.15,UP
2026-04-01 07:10:15,RR,15,0.01,0.99,107.38,5790.34,0.86,0.01,0.99,167.1,4286.48,0.15,UP
2026-04-01 07:10:16,RR,16,0.01,0.99,107.38,5699.29,0.86,0.01,0.99,162.9,4286.48,0.15,UP
2026-04-01 07:10:18,RR,18,0.01,0.99,107.38,5689.59,0.86,0.01,0.99,157.9,4286.48,0.15,UP
2026-04-01 07:10:19,RR,19,0.01,0.99,107.38,5729.99,0.84,0.01,0.99,161.9,4286.48,0.16,UP
2026-04-01 07:10:21,RR,21,0.01,0.99,107.38,5895.34,0.84,0.01,0.99,172.1,4286.48,0.17,UP
2026-04-01 07:10:22,RR,22,0.01,0.99,107.38,5900.29,0.84,0.01,0.99,172.05,4286.48,0.17,UP
2026-04-01 07:10:24,RR,24,0.01,0.99,107.38,5890.39,0.83,0.01,0.99,172.05,4286.48,0.17,UP
2026-04-01 07:10:26,RR,26,0.01,0.99,107.43,5890.49,0.84,0.01,0.99,171.95,4286.48,0.17,UP
2026-04-01 07:10:27,RR,27,0.01,0.99,107.38,5890.49,0.84,0.01,0.99,171.95,4286.48,0.17,UP
2026-04-01 07:10:29,RR,29,0.01,0.99,107.38,5595.59,0.84,0.01,0.99,156.85,4286.48,0.17,UP
2026-04-01 07:10:30,RR,30,0.01,0.99,107.38,5595.59,0.86,0.01,0.99,156.86,3963.47,0.15,UP
2026-04-01 07:10:32,RR,32,0.01,0.99,97.39,5448.24,0.86,0.01,0.99,155.85,3963.47,0.15,UP
2026-04-01 07:10:33,RR,33,0.01,0.99,97.39,5422.39,0.86,0.01,0.99,154.8,3963.47,0.15,UP
2026-04-01 07:10:35,RR,35,0.01,0.99,97.39,5126.44,0.86,0.01,0.99,145.75,3963.47,0.15,UP
2026-04-01 07:10:37,RR,37,0.01,0.99,97.39,5475.39,0.82,0.01,0.99,152.78,3963.47,0.19,UP
2026-04-01 07:10:38,RR,38,0.01,0.99,97.39,5455.94,0.82,0.01,0.99,152.33,3963.47,0.19,UP
2026-04-01 07:10:40,RR,40,0.01,0.99,97.39,5465.74,0.81,0.01,0.99,152.73,3963.47,0.2,UP
2026-04-01 07:10:41,RR,41,0.01,0.99,97.39,5475.69,0.8,0.01,0.99,152.73,3963.47,0.22,UP
2026-04-01 07:10:43,RR,43,0.01,0.99,97.39,5480.59,0.79,0.01,0.99,152.83,3963.47,0.23,UP
